date,name,status,settlement_time_et
2020-07-01,Canada Day,closed,
2020-08-03,Civic Holiday,closed,
2020-09-07,Labour Day,closed,
2020-10-12,Thanksgiving,closed,
2020-11-11,Remembrance Day,closed,
2020-12-25,Christmas Day,closed,
2020-12-28,Boxing Day (observed),closed,
2021-01-01,New Year's Day,closed,
2021-02-15,Family Day,closed,
2021-04-02,Good Friday,closed,
2021-05-24,Victoria Day,closed,
2021-07-01,Canada Day,closed,
2021-08-02,Civic Holiday,closed,
2021-09-06,Labour Day,closed,
2021-09-30,National Day for Truth and Reconciliation,closed,
2021-10-11,Thanksgiving,closed,
2021-11-11,Remembrance Day,closed,
2021-12-27,Christmas Day (observed),closed,
2021-12-28,Boxing Day (observed),closed,
2022-01-03,New Year's Day (observed),closed,
2022-02-21,Family Day,closed,
2022-04-15,Good Friday,closed,
2022-05-23,Victoria Day,closed,
2022-07-01,Canada Day,closed,
2022-08-01,Civic Holiday,closed,
2022-09-05,Labour Day,closed,
2022-09-30,National Day for Truth and Reconciliation,closed,
2022-10-10,Thanksgiving,closed,
2022-11-11,Remembrance Day,closed,
2022-12-26,Christmas Day (observed),closed,
2022-12-27,Boxing Day (observed),closed,
2023-01-02,New Year's Day (observed),closed,
2023-02-20,Family Day,closed,
2023-04-07,Good Friday,closed,
2023-05-22,Victoria Day,closed,
2023-07-03,Canada Day (observed),closed,
2023-08-07,Civic Holiday,closed,
2023-09-04,Labour Day,closed,
2023-10-02,National Day for Truth and Reconciliation (observed),closed,
2023-10-09,Thanksgiving,closed,
2023-11-13,Remembrance Day (observed),closed,
2023-12-25,Christmas Day,closed,
2023-12-26,Boxing Day,closed,
2024-01-01,New Year's Day,closed,
2024-02-19,Family Day,closed,
2024-03-29,Good Friday,closed,
2024-05-20,Victoria Day,closed,
2024-07-01,Canada Day,closed,
2024-08-05,Civic Holiday,closed,
2024-09-02,Labour Day,closed,
2024-09-30,National Day for Truth and Reconciliation,closed,
2024-10-14,Thanksgiving,closed,
2024-11-11,Remembrance Day,closed,
2024-12-25,Christmas Day,closed,
2024-12-26,Boxing Day,closed,
2025-01-01,New Year's Day,closed,
2025-02-17,Family Day,closed,
2025-04-18,Good Friday,closed,
2025-05-19,Victoria Day,closed,
2025-07-01,Canada Day,closed,
2025-08-04,Civic Holiday,closed,
2025-09-01,Labour Day,closed,
2025-09-30,National Day for Truth and Reconciliation,closed,
2025-10-13,Thanksgiving,closed,
2025-11-11,Remembrance Day,closed,
2025-12-24,Day preceding Christmas,early_close,13:00
2025-12-25,Christmas Day,closed,
2025-12-26,Boxing Day,closed,
2025-12-31,Day preceding New Year's Day,early_close,13:00
2026-01-01,New Year's Day,closed,
2026-02-13,Day preceding Family Day,early_close,13:00
2026-02-16,Family Day,closed,
2026-04-02,Day preceding Good Friday,early_close,13:00
2026-04-03,Good Friday,closed,
2026-05-15,Day preceding Victoria Day,early_close,13:00
2026-05-18,Victoria Day,closed,
2026-06-30,Day preceding Canada Day,early_close,13:00
2026-07-01,Canada Day,closed,
2026-07-31,Day preceding Civic Holiday,early_close,13:00
2026-08-03,Civic Holiday,closed,
2026-09-04,Day preceding Labour Day,early_close,13:00
2026-09-07,Labour Day,closed,
2026-09-29,Day preceding Truth and Reconciliation,early_close,13:00
2026-09-30,National Day for Truth and Reconciliation,closed,
2026-10-09,Day preceding Thanksgiving,early_close,13:00
2026-10-12,Thanksgiving,closed,
2026-11-10,Day preceding Remembrance Day,early_close,13:00
2026-11-11,Remembrance Day,closed,
2026-12-24,Day preceding Christmas,early_close,13:00
2026-12-25,Christmas Day,closed,
2026-12-28,Boxing Day (observed),closed,
2026-12-31,Day preceding New Year's Day,early_close,13:00
