date,total_insolvencies,consumer_insolvencies,consumer_bankruptcies,consumer_proposals,business_insolvencies,business_bankruptcies,business_proposals,corporate_insolvencies
2020-01-01,11337,11029,3840,7189,308,222,86,228
2020-02-01,11575,11251,3867,7384,324,233,91,228
2020-03-01,11198,10947,3741,7206,251,175,76,189
2020-04-01,6864,6700,2181,4519,164,108,56,128
2020-05-01,6304,6111,2047,4064,193,152,41,152
2020-06-01,6599,6349,2185,4164,250,191,59,215
2020-07-01,6803,6585,2285,4300,218,177,41,178
2020-08-01,6642,6464,2273,4191,178,138,40,143
2020-09-01,7890,7658,2606,5052,232,188,44,179
2020-10-01,8375,8135,2724,5411,240,178,62,180
2020-11-01,8130,7919,2615,5304,211,165,46,150
2020-12-01,7527,7310,2516,4794,217,181,36,172
2021-01-01,7249,7086,2128,4958,163,129,34,119
2021-02-01,7715,7514,2304,5210,201,157,44,161
2021-03-01,9463,9224,2888,6336,239,185,54,192
2021-04-01,8204,8004,2635,5369,200,148,52,158
2021-05-01,7622,7437,2369,5068,185,155,30,146
2021-06-01,7671,7448,2321,5127,223,173,50,177
2021-07-01,6764,6604,1953,4651,160,124,36,128
2021-08-01,7180,7012,2137,4875,168,137,31,124
2021-09-01,7705,7497,2234,5263,208,155,53,159
2021-10-01,7649,7419,2172,5247,230,188,42,172
2021-11-01,8330,8102,2377,5725,228,179,49,176
2021-12-01,7020,6745,1943,4802,275,212,63,230
2022-01-01,6779,6566,1768,4798,213,178,35,159
2022-02-01,7668,7392,1866,5526,276,199,77,198
2022-03-01,9513,9195,2341,6854,318,239,79,227
2022-04-01,8212,7954,2129,5825,258,196,62,204
2022-05-01,8660,8425,2185,6240,235,185,50,171
2022-06-01,9210,8907,2196,6711,303,242,61,215
2022-07-01,8054,7822,1952,5870,232,186,46,174
2022-08-01,9161,8882,2144,6738,279,223,56,200
2022-09-01,9441,9156,2185,6971,285,206,79,205
2022-10-01,9117,8814,2008,6806,303,238,65,234
2022-11-01,9784,9423,2106,7317,361,275,86,260
2022-12-01,7987,7648,1706,5942,339,254,85,248
2023-01-01,9066,8735,1859,6876,331,263,68,267
2023-02-01,9526,9222,1975,7247,304,234,70,224
2023-03-01,12203,11768,2431,9337,435,331,104,335
2023-04-01,9960,9616,2111,7505,344,255,89,249
2023-05-01,11335,10961,2532,8429,374,283,91,270
2023-06-01,11019,10647,2302,8345,372,287,85,272
2023-07-01,9828,9482,1975,7507,346,248,98,268
2023-08-01,10842,10459,2260,8199,383,290,93,293
2023-09-01,10930,10530,2193,8337,400,308,92,315
2023-10-01,11585,11091,2271,8820,494,373,121,403
2023-11-01,12176,11682,2447,9235,494,384,110,376
2023-12-01,9573,9040,1860,7180,533,446,87,441
2024-01-01,11547,10788,2193,8595,759,625,134,641
2024-02-01,12217,11542,2272,9270,675,532,143,559
2024-03-01,12124,11555,2384,9171,569,442,127,461
2024-04-01,12342,11791,2575,9216,551,432,119,438
2024-05-01,12725,12195,2825,9370,530,416,114,421
2024-06-01,11556,11096,2345,8751,460,351,109,342
2024-07-01,12202,11748,2535,9213,454,339,115,353
2024-08-01,11800,11388,2367,9021,412,316,96,320
2024-09-01,11898,11452,2345,9107,446,323,123,333
2024-10-01,13192,12723,2698,10025,469,332,137,340
2024-11-01,12194,11725,2497,9228,469,374,95,346
2024-12-01,9686,9292,2004,7288,394,289,105,306
2025-01-01,11620,11196,2221,8975,424,324,100,336
2025-02-01,11359,10903,2230,8673,456,339,117,357
2025-03-01,12578,12126,2533,9593,452,348,104,335
2025-04-01,12114,11646,2640,9006,468,373,95,372
2025-05-01,12395,12004,2631,9373,391,301,90,307
2025-06-01,11883,11464,2529,8935,419,327,92,314
2025-07-01,12661,12285,2611,9674,376,286,90,286
2025-08-01,11631,11303,2383,8920,328,261,67,248
2025-09-01,13072,12668,2793,9875,404,294,110,302
2025-10-01,13091,12662,2724,9938,429,328,101,332
2025-11-01,11904,11548,2484,9064,356,273,83,263
2025-12-01,10989,10652,2510,8142,337,260,77,260
2026-01-01,11775,11408,2349,9059,367,288,79,278
2026-02-01,12715,12307,2479,9828,408,320,88,320
2026-03-01,13863,13406,2748,10658,457,335,122,354
