Date,Symbol,Class Symbol,Root Symbol,Underlying Symbol,Strike Price,Expiry Date,Call/Put,Ins. Type,Bid Price,Ask Price,Bid Size,Ask Size,Last Price,Volume,Last Close Price,Net Change,Open Price,High Price,Low Price,Total Value,Nb. Trades,Settlement Price,Open Interest,Implied Volatility,Accrued Financing Value,Accrued Financing Date,CORRA Rate,symbol,source_file
2020-06-01,BAXM20,BAX,BAX,BAX,0,2020-06-15,0,1,99.45,99.455,9547,51,0.0,12597,0.0,-0.005,99.46,99.465,99.45,1252741,295,99.455,177387,0,0,,0,bax,quote_BAX_20200601_20201030.csv
2020-06-01,BAXN20,BAX,BAX,BAX,0,2020-07-13,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.46,0,0,0,,0,bax,quote_BAX_20200601_20201030.csv
2020-06-01,BAXQ20,BAX,BAX,BAX,0,2020-08-17,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.48,0,0,0,,0,bax,quote_BAX_20200601_20201030.csv
2020-06-01,BAXU20,BAX,BAX,BAX,0,2020-09-14,0,1,99.465,99.47,226,13,0.0,11332,0.0,-0.005,99.48,99.49,99.47,1126938,616,99.475,146561,0,0,,0,bax,quote_BAX_20200601_20201030.csv
2020-06-01,BAXZ20,BAX,BAX,BAX,0,2020-12-14,0,1,99.455,99.46,37,35,0.0,9890,0.0,-0.005,99.46,99.475,99.455,983330,660,99.46,133227,0,0,,0,bax,quote_BAX_20200601_20201030.csv
2020-06-01,BAXH21,BAX,BAX,BAX,0,2021-03-15,0,1,99.455,99.46,501,38,0.0,10302,0.0,-0.005,99.46,99.48,99.455,1024198,959,99.465,170889,0,0,,0,bax,quote_BAX_20200601_20201030.csv
2020-06-01,BAXM21,BAX,BAX,BAX,0,2021-06-14,0,1,99.44,99.45,21,131,0.0,7433,0.0,-0.01,99.45,99.46,99.435,738915,577,99.45,124140,0,0,,0,bax,quote_BAX_20200601_20201030.csv
2020-06-01,BAXU21,BAX,BAX,BAX,0,2021-09-13,0,1,99.42,99.425,248,50,0.0,4957,0.0,-0.01,99.435,99.445,99.42,492632,450,99.43,103691,0,0,,0,bax,quote_BAX_20200601_20201030.csv
2020-06-01,BAXZ21,BAX,BAX,BAX,0,2021-12-13,0,1,99.385,99.4,132,25,0.0,4515,0.0,-0.01,99.395,99.41,99.38,448556,424,99.395,61709,0,0,,0,bax,quote_BAX_20200601_20201030.csv
2020-06-01,BAXH22,BAX,BAX,BAX,0,2022-03-14,0,1,99.36,99.37,13,75,0.0,2718,0.0,-0.01,99.375,99.39,99.355,269915,329,99.375,38455,0,0,,0,bax,quote_BAX_20200601_20201030.csv
2020-06-01,BAXM22,BAX,BAX,BAX,0,2022-06-13,0,1,0.0,0.0,0,0,0.0,177,0.0,-0.01,99.34,99.34,99.32,17572,26,99.34,4735,0,0,,0,bax,quote_BAX_20200601_20201030.csv
2020-06-01,BAXU22,BAX,BAX,BAX,0,2022-09-19,0,1,0.0,0.0,0,0,0.0,71,0.0,-0.01,99.32,99.32,99.29,7046,14,99.3,2836,0,0,,0,bax,quote_BAX_20200601_20201030.csv
2020-06-01,BAXZ22,BAX,BAX,BAX,0,2022-12-19,0,1,0.0,0.0,0,0,0.0,30,0.0,-0.03,99.27,99.27,99.24,2972,10,99.26,1612,0,0,,0,bax,quote_BAX_20200601_20201030.csv
2020-06-01,BAXH23,BAX,BAX,BAX,0,2023-03-13,0,1,0.0,99.23,0,25,0.0,162,0.0,-0.01,99.23,99.23,99.2,16064,26,99.22,992,0,0,,0,bax,quote_BAX_20200601_20201030.csv
2020-06-02,BAXM20,BAX,BAX,BAX,0,2020-06-15,0,1,99.445,99.45,6489,2441,99.445,11109,99.445,0.0,99.455,99.455,99.445,1104675,215,99.445,178477,0,0,,0,bax,quote_BAX_20200601_20201030.csv
2020-06-02,BAXN20,BAX,BAX,BAX,0,2020-07-13,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.45,0,0,0,,0,bax,quote_BAX_20200601_20201030.csv
2020-06-02,BAXQ20,BAX,BAX,BAX,0,2020-08-17,0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,99.47,0,0,0,,0,bax,quote_BAX_20200601_20201030.csv
2020-06-02,BAXU20,BAX,BAX,BAX,0,2020-09-14,0,1,99.465,99.47,544,143,99.47,9289,99.47,0.0,99.465,99.47,99.46,923726,431,99.47,147098,0,0,,0,bax,quote_BAX_20200601_20201030.csv
