date,symbol,scale,rolled,prev_date,vol_t,vol_prev,status,settle_t,settle_prev,delta_f,surprise
2020-01-22,,,False,,,,no_live_contract,,,,
2020-03-04,,,False,,,,no_live_contract,,,,
2020-03-13,,,False,,,,no_live_contract,,,,
2020-03-27,,,False,,,,no_live_contract,,,,
2020-04-15,,,False,,,,no_live_contract,,,,
2020-06-03,,,False,,,,no_live_contract,,,,
2020-07-15,CRAM20,,False,2020-07-14,0.0,0.0,no_volume,,,,
2020-09-09,CRAU20,1.0,True,2020-09-08,2.0,0.0,no_volume,,,,
2020-10-28,CRAU20,1.8571428571428572,False,2020-10-27,0.0,0.0,no_volume,,,,
2020-12-09,CRAZ20,1.0,True,2020-12-08,0.0,0.0,no_volume,,,,
2021-01-20,CRAZ20,1.625,False,2021-01-19,28.0,0.0,no_volume,,,,
2021-03-10,CRAH21,1.0,True,2021-03-09,1.0,0.0,no_volume,,,,
2021-04-21,CRAH21,1.625,False,2021-04-20,100.0,0.0,no_volume,,,,
2021-06-09,CRAM21,1.0,True,2021-06-08,0.0,607.0,no_volume,,,,
2021-07-14,CRAM21,1.4444444444444444,False,2021-07-13,0.0,0.0,no_volume,,,,
2021-09-08,CRAU21,1.0,True,2021-09-07,0.0,0.0,no_volume,,,,
2021-10-27,CRAU21,1.8571428571428572,False,2021-10-26,0.0,0.0,no_volume,,,,
2021-12-08,CRAZ21,1.0,True,2021-12-07,81.0,101.0,ok,99.76,99.705,0.05500000000000682,-5.500000000000682
2022-01-26,CRAZ21,1.8571428571428572,False,2022-01-25,0.0,0.0,no_volume,,,,
2022-03-02,CRAH22,1.0,True,2022-03-01,10.0,11.0,ok,99.32,99.4,-0.0800000000000125,8.00000000000125
2022-04-13,CRAH22,1.4444444444444444,False,2022-04-12,0.0,501.0,no_volume,,,,
2022-06-01,CRAM22,1.0,True,2022-05-31,0.0,0.0,no_volume,,,,
2022-07-13,CRAM22,1.4,False,2022-07-12,400.0,125.0,ok,97.7025,97.8925,-0.18999999999999773,26.599999999999678
2022-09-07,CRAU22,1.0,True,2022-09-06,155.0,820.0,ok,96.465,96.515,-0.04999999999999716,4.999999999999716
2022-10-26,CRAU22,1.625,False,2022-10-25,187.0,625.0,ok,96.385,96.28,0.10500000000000398,-17.062500000000647
2022-12-07,CRAZ22,1.0,True,2022-12-06,1394.0,636.0,ok,95.675,95.815,-0.14000000000000057,14.000000000000057
2023-01-25,CRAZ22,1.7142857142857142,False,2023-01-24,908.0,516.0,ok,95.58,95.6075,-0.02750000000000341,4.714285714286299
2023-03-08,CRAH23,1.0,True,2023-03-07,3372.0,1956.0,ok,95.415,95.41,0.005000000000009663,-0.5000000000009663
2023-04-12,CRAH23,1.4,False,2023-04-11,1929.0,2130.0,ok,95.4875,95.495,-0.00750000000000739,1.0500000000010346
2023-06-07,CRAM23,1.0,True,2023-06-06,29626.0,7512.0,ok,95.07,95.225,-0.15500000000000114,15.500000000000114
2023-07-12,CRAM23,1.3,False,2023-07-11,12045.0,5314.0,ok,95.0175,95.0675,-0.04999999999999716,6.499999999999631
2023-09-06,CRAU23,1.0,True,2023-09-05,23383.0,12856.0,ok,94.915,94.915,0.0,-0.0
2023-10-25,CRAU23,1.625,False,2023-10-24,35508.0,4989.0,ok,94.94,94.92,0.01999999999999602,-3.2499999999993534
2023-12-06,CRAZ23,1.0,True,2023-12-05,9487.0,9317.0,ok,95.005,95.01,-0.005000000000009663,0.5000000000009663
2024-01-24,CRAZ23,1.625,False,2024-01-23,10031.0,9012.0,ok,94.9425,94.9475,-0.005000000000009663,0.8125000000015703
2024-03-06,CRAH24,1.0,True,2024-03-05,30805.0,15517.0,ok,95.03,95.06,-0.030000000000001137,3.0000000000001137
2024-04-10,CRAH24,1.3,False,2024-04-09,33520.0,18948.0,ok,94.985,95.015,-0.030000000000001137,3.900000000000148
2024-06-05,CRAM24,1.0,True,2024-06-04,78620.0,43544.0,ok,95.325,95.25,0.07500000000000284,-7.500000000000284
2024-07-24,CRAM24,1.625,False,2024-07-23,24859.0,18984.0,ok,95.365,95.3325,0.03249999999999886,-5.281249999999815
2024-09-04,CRAU24,1.0,True,2024-09-03,45038.0,27470.0,ok,95.92,95.92,0.0,-0.0
2024-10-23,CRAU24,1.625,False,2024-10-22,38327.0,11901.0,ok,96.01,95.98,0.030000000000001137,-4.875000000000185
2024-12-11,CRAZ24,1.0,True,2024-12-10,75724.0,41645.0,ok,96.81,96.805,0.0049999999999954525,-0.49999999999954525
2025-01-29,CRAZ24,1.8571428571428572,False,2025-01-28,45172.0,13644.0,ok,96.8525,96.8225,0.030000000000001137,-5.571428571428783
2025-03-12,CRAH25,1.0,True,2025-03-11,42381.0,57641.0,ok,97.32,97.33,-0.010000000000005116,1.0000000000005116
2025-04-16,CRAH25,1.4444444444444444,False,2025-04-15,26978.0,25863.0,ok,97.265,97.32,-0.05499999999999261,7.944444444443377
2025-06-04,CRAM25,1.0,True,2025-06-03,61156.0,55279.0,ok,97.305,97.35,-0.044999999999987494,4.4999999999987494
2025-07-30,CRAM25,1.8571428571428572,False,2025-07-29,8188.0,3917.0,ok,97.24,97.2475,-0.00750000000000739,1.3928571428585153
2025-09-17,CRAU25,1.0,True,2025-09-16,46915.0,57154.0,ok,97.51,97.51,0.0,-0.0
2025-10-29,CRAU25,1.8571428571428572,False,2025-10-28,32232.0,5962.0,ok,97.5975,97.5825,0.015000000000000568,-2.7857142857143913
2025-12-10,CRAZ25,1.0,True,2025-12-09,55208.0,21684.0,ok,97.75,97.755,-0.0049999999999954525,0.49999999999954525
2026-01-28,CRAZ25,1.8571428571428572,False,2026-01-27,5233.0,7863.0,ok,97.73,97.735,-0.0049999999999954525,0.9285714285705842
2026-03-18,CRAH26,1.0,True,2026-03-17,21658.0,22452.0,ok,97.7325,97.745,-0.012500000000002842,1.2500000000002842
2026-04-29,CRAH26,1.8571428571428572,False,2026-04-28,12846.0,5837.0,ok,97.7075,97.71,-0.0024999999999977263,0.4642857142852921
2026-06-10,CRAM26,1.0,True,2026-06-09,16646.0,21627.0,ok,97.72,97.71,0.010000000000005116,-1.0000000000005116
2026-07-15,CRAM26,1.4444444444444444,False,2026-07-14,10440.0,4228.0,ok,97.7075,97.7075,0.0,-0.0
2026-09-02,,,False,,,,no_live_contract,,,,
2026-10-28,,,False,,,,no_live_contract,,,,
2026-12-09,,,False,,,,no_live_contract,,,,
