date,symbol,scale,rolled,prev_date,vol_t,vol_prev,status,settle_t,settle_prev,delta_f,surprise
2020-01-22,,,False,,,,no_live_contract,,,,
2020-03-04,,,False,,,,no_live_contract,,,,
2020-03-13,,,False,,,,no_live_contract,,,,
2020-03-27,,,False,,,,no_live_contract,,,,
2020-04-15,,,False,,,,no_live_contract,,,,
2020-06-03,,,False,,,,no_live_contract,,,,
2020-07-15,CRAU20,1.0,True,2020-07-14,0.0,0.0,no_volume,,,,
2020-09-09,CRAU20,1.0,True,2020-09-08,2.0,0.0,no_volume,,,,
2020-10-28,CRAZ20,1.0,True,2020-10-27,12.0,0.0,no_volume,,,,
2020-12-09,CRAZ20,1.0,True,2020-12-08,0.0,0.0,no_volume,,,,
2021-01-20,CRAH21,1.0,True,2021-01-19,29.0,56.0,ok,99.825,99.83,-0.0049999999999954525,0.49999999999954525
2021-03-10,CRAH21,1.0,True,2021-03-09,1.0,0.0,no_volume,,,,
2021-04-21,CRAM21,1.0,True,2021-04-20,0.0,0.0,no_volume,,,,
2021-06-09,CRAM21,1.0,True,2021-06-08,0.0,607.0,no_volume,,,,
2021-07-14,CRAU21,1.0,True,2021-07-13,0.0,0.0,no_volume,,,,
2021-09-08,CRAU21,1.0,True,2021-09-07,0.0,0.0,no_volume,,,,
2021-10-27,CRAZ21,1.0,True,2021-10-26,0.0,0.0,no_volume,,,,
2021-12-08,CRAZ21,1.0,True,2021-12-07,81.0,101.0,ok,99.76,99.705,0.05500000000000682,-5.500000000000682
2022-01-26,CRAH22,1.0,True,2022-01-25,0.0,0.0,no_volume,,,,
2022-03-02,CRAH22,1.0,True,2022-03-01,10.0,11.0,ok,99.32,99.4,-0.0800000000000125,8.00000000000125
2022-04-13,CRAM22,1.0,True,2022-04-12,0.0,0.0,no_volume,,,,
2022-06-01,CRAM22,1.0,True,2022-05-31,0.0,0.0,no_volume,,,,
2022-07-13,CRAU22,1.0,True,2022-07-12,460.0,125.0,ok,96.54,96.76,-0.21999999999999886,21.999999999999886
2022-09-07,CRAU22,1.0,True,2022-09-06,155.0,820.0,ok,96.465,96.515,-0.04999999999999716,4.999999999999716
2022-10-26,CRAZ22,1.0,True,2022-10-25,667.0,329.0,ok,95.84,95.615,0.22500000000000853,-22.500000000000853
2022-12-07,CRAZ22,1.0,True,2022-12-06,1394.0,636.0,ok,95.675,95.815,-0.14000000000000057,14.000000000000057
2023-01-25,CRAH23,1.0,True,2023-01-24,3543.0,504.0,ok,95.44,95.46,-0.01999999999999602,1.999999999999602
2023-03-08,CRAH23,1.0,True,2023-03-07,3372.0,1956.0,ok,95.415,95.41,0.005000000000009663,-0.5000000000009663
2023-04-12,CRAM23,1.0,True,2023-04-11,2671.0,3462.0,ok,95.505,95.53,-0.025000000000005684,2.5000000000005684
2023-06-07,CRAM23,1.0,True,2023-06-06,29626.0,7512.0,ok,95.07,95.225,-0.15500000000000114,15.500000000000114
2023-07-12,CRAU23,1.0,True,2023-07-11,28488.0,9246.0,ok,94.87,94.86,0.010000000000005116,-1.0000000000005116
2023-09-06,CRAU23,1.0,True,2023-09-05,23383.0,12856.0,ok,94.915,94.915,0.0,-0.0
2023-10-25,CRAZ23,1.0,True,2023-10-24,23126.0,14502.0,ok,94.875,94.855,0.01999999999999602,-1.999999999999602
2023-12-06,CRAZ23,1.0,True,2023-12-05,9487.0,9317.0,ok,95.005,95.01,-0.005000000000009663,0.5000000000009663
2024-01-24,CRAH24,1.0,True,2024-01-23,24065.0,12785.0,ok,95.09,95.075,0.015000000000000568,-1.5000000000000568
2024-03-06,CRAH24,1.0,True,2024-03-05,30805.0,15517.0,ok,95.03,95.06,-0.030000000000001137,3.0000000000001137
2024-04-10,CRAM24,1.0,True,2024-04-09,72432.0,31679.0,ok,95.205,95.27,-0.06499999999999773,6.499999999999773
2024-06-05,CRAM24,1.0,True,2024-06-04,78620.0,43544.0,ok,95.325,95.25,0.07500000000000284,-7.500000000000284
2024-07-24,CRAU24,1.0,True,2024-07-23,40183.0,19997.0,ok,95.72,95.645,0.07500000000000284,-7.500000000000284
2024-09-04,CRAU24,1.0,True,2024-09-03,45038.0,27470.0,ok,95.92,95.92,0.0,-0.0
2024-10-23,CRAZ24,1.0,True,2024-10-22,64485.0,43060.0,ok,96.69,96.655,0.03499999999999659,-3.499999999999659
2024-12-11,CRAZ24,1.0,True,2024-12-10,75724.0,41645.0,ok,96.81,96.805,0.0049999999999954525,-0.49999999999954525
2025-01-29,CRAH25,1.0,True,2025-01-28,55902.0,35332.0,ok,97.18,97.15,0.030000000000001137,-3.0000000000001137
2025-03-12,CRAH25,1.0,True,2025-03-11,42381.0,57641.0,ok,97.32,97.33,-0.010000000000005116,1.0000000000005116
2025-04-16,CRAM25,1.0,True,2025-04-15,59102.0,61912.0,ok,97.465,97.495,-0.030000000000001137,3.0000000000001137
2025-06-04,CRAM25,1.0,True,2025-06-03,61156.0,55279.0,ok,97.305,97.35,-0.044999999999987494,4.4999999999987494
2025-07-30,CRAU25,1.0,True,2025-07-29,39508.0,22449.0,ok,97.315,97.34,-0.025000000000005684,2.5000000000005684
2025-09-17,CRAZ25,1.0,True,2025-09-16,83002.0,58942.0,ok,97.665,97.67,-0.0049999999999954525,0.49999999999954525
2025-10-29,CRAZ25,1.0,True,2025-10-28,122480.0,26706.0,ok,97.76,97.81,-0.04999999999999716,4.999999999999716
2025-12-10,CRAZ25,1.0,True,2025-12-09,55208.0,21684.0,ok,97.75,97.755,-0.0049999999999954525,0.49999999999954525
2026-01-28,CRAH26,1.0,True,2026-01-27,22905.0,18487.0,ok,97.755,97.765,-0.010000000000005116,1.0000000000005116
2026-03-18,CRAM26,1.0,True,2026-03-17,50001.0,52997.0,ok,97.675,97.71,-0.03499999999999659,3.499999999999659
2026-04-29,CRAM26,1.0,True,2026-04-28,69208.0,24304.0,ok,97.57,97.64,-0.07000000000000739,7.000000000000739
2026-06-10,CRAM26,1.0,True,2026-06-09,16646.0,21627.0,ok,97.72,97.71,0.010000000000005116,-1.0000000000005116
2026-07-15,CRAU26,1.0,True,2026-07-14,24179.0,46922.0,ok,97.66,97.64,0.01999999999999602,-1.999999999999602
2026-09-02,,,False,,,,no_live_contract,,,,
2026-10-28,,,False,,,,no_live_contract,,,,
2026-12-09,,,False,,,,no_live_contract,,,,
