date,bank_funding_spread
2001-01-03,-0.8999999999999995
2001-01-10,-1.1600000000000001
2001-01-17,-1.25
2001-01-24,-1.2199999999999998
2001-01-31,-1.1700000000000004
2001-02-07,-1.1999999999999997
2001-02-14,-1.3199999999999998
2001-02-21,-1.15
2001-02-28,-1.06
2001-03-07,-0.9200000000000004
2001-03-14,-1.1500000000000004
2001-03-21,-0.96
2001-03-28,-1.3399999999999994
2001-04-04,-1.3399999999999994
2001-04-11,-1.3599999999999999
2001-04-18,-1.2399999999999998
2001-04-25,-1.27
2001-05-02,-1.3299999999999996
2001-05-09,-1.2599999999999998
2001-05-16,-1.2999999999999998
2001-05-23,-1.4900000000000002
2001-05-30,-1.4699999999999998
2001-06-06,-1.2799999999999998
2001-06-13,-1.23
2001-06-20,-1.0800000000000005
2001-06-27,-1.2899999999999996
2001-07-04,-1.4199999999999995
2001-07-11,-1.2799999999999998
2001-07-18,-1.15
2001-07-25,-1.1
2001-08-01,-1.2899999999999996
2001-08-08,-1.19
2001-08-15,-1.4499999999999997
2001-08-22,-1.3399999999999994
2001-08-29,-1.1599999999999997
2001-09-05,-1.13
2001-09-12,-0.8799999999999999
2001-09-19,-1.13
2001-09-26,-1.0900000000000003
2001-10-03,-1.02
2001-10-10,-1.24
2001-10-17,-1.2300000000000002
2001-10-24,-1.01
2001-10-31,-0.8699999999999999
2001-11-07,-0.6700000000000002
2001-11-14,-1.09
2001-11-21,-1.1300000000000001
2001-11-28,-1.25
2001-12-05,-1.2400000000000002
2001-12-12,-1.0299999999999998
2001-12-19,-1.0499999999999998
2001-12-26,-0.9700000000000002
2002-01-02,-0.9700000000000002
2002-01-09,-0.96
2002-01-16,-1.07
2002-01-23,-1.3699999999999997
2002-01-30,-1.5099999999999998
2002-02-06,-1.22
2002-02-13,-1.36
2002-02-20,-1.3100000000000003
2002-02-27,-1.39
2002-03-06,-1.4800000000000002
2002-03-13,-1.86
2002-03-20,-2.0
2002-03-27,-2.24
2002-04-03,-1.7999999999999998
2002-04-10,-1.8399999999999999
2002-04-17,-1.77
2002-04-24,-1.8399999999999999
2002-05-01,-1.79
2002-05-08,-1.7200000000000002
2002-05-15,-1.94
2002-05-22,-1.92
2002-05-29,-1.9300000000000002
2002-06-05,-1.9300000000000002
2002-06-12,-1.94
2002-06-19,-1.44
2002-06-26,-1.3200000000000003
2002-07-03,-1.35
2002-07-10,-1.3900000000000001
2002-07-17,-1.3200000000000003
2002-07-24,-1.12
2002-07-31,-1.19
2002-08-07,-0.94
2002-08-14,-1.1100000000000003
2002-08-21,-1.25
2002-08-28,-1.3900000000000001
2002-09-04,-1.12
2002-09-11,-1.37
2002-09-18,-1.31
2002-09-25,-1.2400000000000002
2002-10-02,-1.12
2002-10-09,-1.19
2002-10-16,-1.25
2002-10-23,-1.2200000000000002
2002-10-30,-1.08
2002-11-06,-1.0100000000000002
2002-11-13,-1.0100000000000002
2002-11-20,-1.0700000000000003
2002-11-27,-1.12
2002-12-04,-1.12
2002-12-11,-1.0900000000000003
2002-12-18,-1.08
2002-12-25,-1.0300000000000002
2003-01-01,-0.98
2003-01-08,-1.0100000000000002
2003-01-15,-1.1600000000000001
2003-01-22,-1.2800000000000002
2003-01-29,-1.4100000000000001
2003-02-05,-1.4
2003-02-12,-1.2600000000000002
2003-02-19,-1.3400000000000003
2003-02-26,-1.4300000000000002
2003-03-05,-1.5100000000000002
2003-03-12,-1.58
2003-03-19,-1.7000000000000002
2003-03-26,-1.75
2003-04-02,-1.71
2003-04-09,-1.7000000000000002
2003-04-16,-1.6800000000000002
2003-04-23,-1.6800000000000002
2003-04-30,-1.62
2003-05-07,-1.5700000000000003
2003-05-14,-1.5700000000000003
2003-05-21,-1.5
2003-05-28,-1.3000000000000003
2003-06-04,-1.2600000000000002
2003-06-11,-1.13
2003-06-18,-0.98
2003-06-25,-0.94
2003-07-02,-1.18
2003-07-09,-1.2699999999999998
2003-07-16,-1.07
2003-07-23,-0.8899999999999999
2003-07-30,-1.1
2003-08-06,-1.19
2003-08-13,-1.2600000000000002
2003-08-20,-1.1800000000000002
2003-08-27,-1.2800000000000002
2003-09-03,-1.3000000000000003
2003-09-10,-1.1100000000000003
2003-09-17,-1.1400000000000001
2003-09-24,-1.0
2003-10-01,-1.0399999999999998
2003-10-08,-1.22
2003-10-15,-1.3499999999999999
2003-10-22,-1.3299999999999998
2003-10-29,-1.28
2003-11-05,-1.4400000000000002
2003-11-12,-1.53
2003-11-19,-1.4800000000000002
2003-11-26,-1.3800000000000001
2003-12-03,-1.3699999999999999
2003-12-10,-1.34
2003-12-17,-1.22
2003-12-24,-1.22
2003-12-31,-1.1900000000000002
2004-01-07,-1.0999999999999999
2004-01-14,-1.0200000000000002
2004-01-21,-0.9099999999999999
2004-01-28,-1.11
2004-02-04,-1.14
2004-02-11,-1.0000000000000002
2004-02-18,-1.0400000000000003
2004-02-25,-0.99
2004-03-03,-1.16
2004-03-10,-1.19
2004-03-17,-1.0899999999999999
2004-03-24,-1.06
2004-03-31,-1.0699999999999998
2004-04-07,-1.21
2004-04-14,-1.27
2004-04-21,-1.31
2004-04-28,-1.31
2004-05-05,-1.2199999999999998
2004-05-12,-1.4
2004-05-19,-1.4100000000000001
2004-05-26,-1.37
2004-06-02,-1.4499999999999997
2004-06-09,-1.4700000000000002
2004-06-16,-1.4400000000000002
2004-06-23,-1.4200000000000002
2004-06-30,-1.3299999999999998
2004-07-07,-1.2
2004-07-14,-1.4600000000000002
2004-07-21,-1.47
2004-07-28,-1.5400000000000003
2004-08-04,-1.39
2004-08-11,-1.5299999999999998
2004-08-18,-1.5899999999999999
2004-08-25,-1.69
2004-09-01,-1.7000000000000002
2004-09-08,-1.9
2004-09-15,-1.62
2004-09-22,-1.6099999999999999
2004-09-29,-1.63
2004-10-06,-1.73
2004-10-13,-1.4700000000000002
2004-10-20,-1.42
2004-10-27,-1.5100000000000002
2004-11-03,-1.6
2004-11-10,-1.53
2004-11-17,-1.43
2004-11-24,-1.3800000000000001
2004-12-01,-1.22
2004-12-08,-1.2400000000000002
2004-12-15,-1.2
2004-12-22,-1.28
2004-12-29,-1.3299999999999998
2005-01-05,-1.3100000000000003
2005-01-12,-1.3499999999999999
2005-01-19,-1.2500000000000002
2005-01-26,-1.18
2005-02-02,-1.2500000000000002
2005-02-09,-1.28
2005-02-16,-1.32
2005-02-23,-1.34
2005-03-02,-1.36
2005-03-09,-1.3499999999999999
2005-03-16,-1.4800000000000002
2005-03-23,-1.64
2005-03-30,-1.4100000000000001
2005-04-06,-1.3400000000000003
2005-04-13,-1.23
2005-04-20,-1.2400000000000002
2005-04-27,-1.3399999999999999
2005-05-04,-1.3199999999999998
2005-05-11,-1.35
2005-05-18,-1.3199999999999998
2005-05-25,-1.33
2005-06-01,-1.2800000000000002
2005-06-08,-1.2800000000000002
2005-06-15,-1.4100000000000001
2005-06-22,-1.3400000000000003
2005-06-29,-1.4600000000000002
2005-07-06,-1.5799999999999998
2005-07-13,-1.7100000000000002
2005-07-20,-1.6700000000000002
2005-07-27,-1.68
2005-08-03,-1.6900000000000002
2005-08-10,-1.8099999999999998
2005-08-17,-1.8
2005-08-24,-1.8299999999999998
2005-08-31,-1.66
2005-09-07,-1.72
2005-09-14,-1.7699999999999998
2005-09-21,-1.8099999999999998
2005-09-28,-1.9600000000000002
2005-10-05,-2.01
2005-10-12,-1.77
2005-10-19,-1.8599999999999999
2005-10-26,-1.7499999999999998
2005-11-02,-1.7899999999999998
2005-11-09,-1.75
2005-11-16,-1.8200000000000003
