date,bond_etf_net_assets_billions
2023-03-01,84.4
2023-04-01,85.5
2023-05-01,84.7
2023-06-01,85.9
2023-07-01,86.2
2023-08-01,86.3
2023-09-01,85.4
2023-10-01,86.3
2023-11-01,90.4
2023-12-01,94.6
2024-01-01,94.1
2024-02-01,94.8
2024-04-01,95.9
2024-05-01,98.4
2024-06-01,104.4
2024-07-01,107.7
2024-08-01,109.2
2024-09-01,112.0
2024-10-01,113.2
2024-11-01,115.7
2024-12-01,116.7
2025-01-01,119.4
2025-02-01,123.3
2025-03-01,126.6
2025-04-01,125.8
2025-05-01,128.8
2025-06-01,130.9
2025-07-01,131.7
2025-08-01,133.7
2025-09-01,138.6
2025-10-01,141.1
2025-11-01,143.9
2025-12-01,146.0
2026-01-01,150.9
2026-02-01,156.7
2026-03-01,157.6
2026-04-01,158.7
2026-05-01,162.5
2026-06-01,165.2
2026-07-01,165.5
