date,bond_etf_net_sales_millions
2023-03-01,2297.0
2023-04-01,860.0
2023-05-01,819.0
2023-06-01,1177.0
2023-07-01,986.0
2023-08-01,641.0
2023-09-01,1040.0
2023-10-01,1410.0
2023-11-01,582.0
2023-12-01,1816.0
2024-01-01,321.0
2024-02-01,1182.0
2024-04-01,1734.0
2024-05-01,1287.0
2024-06-01,5349.0
2024-07-01,1463.0
2024-08-01,1176.0
2024-09-01,1490.0
2024-10-01,2736.0
2024-11-01,979.0
2024-12-01,2081.0
2025-01-01,1698.0
2025-02-01,3075.0
2025-03-01,4088.0
2025-04-01,104.0
2025-05-01,3103.0
2025-06-01,1960.0
2025-07-01,1515.0
2025-08-01,1870.0
2025-09-01,3677.0
2025-10-01,2043.0
2025-11-01,3238.0
2025-12-01,3451.0
2026-01-01,4002.0
2026-02-01,4354.0
2026-03-01,3711.0
2026-04-01,1435.0
2026-05-01,2623.0
2026-06-01,2440.0
2026-07-01,2599.0
