date,bond_etf_volume
2019-01-02,86600
2019-01-03,58100
2019-01-04,114500
2019-01-07,214500
2019-01-08,65900
2019-01-09,103400
2019-01-10,101200
2019-01-11,40200
2019-01-14,75100
2019-01-15,76300
2019-01-16,54900
2019-01-17,66900
2019-01-18,149000
2019-01-21,99700
2019-01-22,108800
2019-01-23,47400
2019-01-24,66200
2019-01-25,206900
2019-01-28,68700
2019-01-29,110100
2019-01-30,93400
2019-01-31,115500
2019-02-01,110500
2019-02-04,97900
2019-02-05,116800
2019-02-06,86200
2019-02-07,66000
2019-02-08,338900
2019-02-11,118900
2019-02-12,157900
2019-02-13,102500
2019-02-14,44000
2019-02-15,121200
2019-02-19,171900
2019-02-20,183100
2019-02-21,187000
2019-02-22,85900
2019-02-25,86500
2019-02-26,83300
2019-02-27,160500
2019-02-28,134100
2019-03-01,125300
2019-03-04,203500
2019-03-05,83000
2019-03-06,54500
2019-03-07,68200
2019-03-08,270500
2019-03-11,85100
2019-03-12,95200
2019-03-13,124000
2019-03-14,84900
2019-03-15,91700
2019-03-18,116900
2019-03-19,102000
2019-03-20,103500
2019-03-21,117200
2019-03-22,154200
2019-03-25,120100
2019-03-26,355600
2019-03-27,125100
2019-03-28,123700
2019-03-29,102700
2019-04-01,267200
2019-04-02,104400
2019-04-03,76100
2019-04-04,76700
2019-04-05,113900
2019-04-08,122800
2019-04-09,63500
2019-04-10,47000
2019-04-11,214400
2019-04-12,198400
2019-04-15,116700
2019-04-16,103400
2019-04-17,134700
2019-04-18,140600
2019-04-22,133200
2019-04-23,174800
2019-04-24,90000
2019-04-25,134800
2019-04-26,113800
2019-04-29,127600
2019-04-30,95600
2019-05-01,76900
2019-05-02,267300
2019-05-03,94900
2019-05-06,144800
2019-05-07,128600
2019-05-08,125200
2019-05-09,89100
2019-05-10,104800
2019-05-13,50100
2019-05-14,115700
2019-05-15,72200
2019-05-16,76600
2019-05-17,115500
2019-05-21,182300
2019-05-22,57700
2019-05-23,164800
2019-05-24,67800
2019-05-27,70600
2019-05-28,68900
2019-05-29,574000
2019-05-30,114100
2019-05-31,198000
2019-06-03,78100
2019-06-04,88200
2019-06-05,82400
2019-06-06,116800
2019-06-07,74300
2019-06-10,90100
2019-06-11,93500
2019-06-12,98800
2019-06-13,71300
2019-06-14,66900
2019-06-17,76500
2019-06-18,214400
2019-06-19,111400
2019-06-20,146000
2019-06-21,73700
2019-06-24,79700
2019-06-25,171300
2019-06-26,108500
2019-06-27,224700
2019-06-28,50400
2019-07-02,138700
2019-07-03,92600
2019-07-04,103400
2019-07-05,190900
2019-07-08,78700
2019-07-09,60600
2019-07-10,116800
2019-07-11,98400
2019-07-12,90400
2019-07-15,236900
2019-07-16,112200
2019-07-17,115400
2019-07-18,47500
2019-07-19,80500
2019-07-22,80700
2019-07-23,76800
2019-07-24,67800
2019-07-25,104100
2019-07-26,139200
2019-07-29,189800
2019-07-30,82600
2019-07-31,89500
2019-08-01,110300
2019-08-02,53000
2019-08-06,120400
2019-08-07,96700
2019-08-08,114000
2019-08-09,78000
2019-08-12,106200
2019-08-13,113000
2019-08-14,210600
2019-08-15,103700
2019-08-16,101000
2019-08-19,115900
2019-08-20,121700
2019-08-21,192500
2019-08-22,134600
2019-08-23,79900
2019-08-26,71600
2019-08-27,58600
2019-08-28,129200
2019-08-29,155200
2019-08-30,69700
2019-09-03,111200
2019-09-04,107200
2019-09-05,170100
2019-09-06,167000
2019-09-09,116900
2019-09-10,219700
2019-09-11,200200
2019-09-12,124800
2019-09-13,160200
2019-09-16,75200
2019-09-17,103000
2019-09-18,94900
2019-09-19,127200
2019-09-20,64200
2019-09-23,132700
2019-09-24,101200
2019-09-25,168600
2019-09-26,111300
2019-09-27,65700
2019-09-30,163400
2019-10-01,120700
2019-10-02,91800
2019-10-03,172100
2019-10-04,154400
2019-10-07,167000
2019-10-08,179000
2019-10-09,81000
2019-10-10,219200
2019-10-11,288400
2019-10-15,157400
2019-10-16,106300
2019-10-17,87900
2019-10-18,73800
2019-10-21,154400
2019-10-22,90600
2019-10-23,104200
2019-10-24,145600
2019-10-25,140600
2019-10-28,209500
2019-10-29,89800
2019-10-30,114100
2019-10-31,97200
2019-11-01,152800
2019-11-04,173000
2019-11-05,173000
2019-11-06,99700
2019-11-07,168600
2019-11-08,200200
2019-11-11,114700
2019-11-12,150700
2019-11-13,113100
2019-11-14,162900
2019-11-15,95100
2019-11-18,133000
2019-11-19,90900
2019-11-20,74500
2019-11-21,120300
2019-11-22,108300
2019-11-25,76900
2019-11-26,150800
2019-11-27,95400
2019-11-28,57600
2019-11-29,65400
2019-12-02,172600
2019-12-03,152700
2019-12-04,169900
2019-12-05,108200
2019-12-06,79000
2019-12-09,128300
2019-12-10,104100
2019-12-11,276700
2019-12-12,175900
2019-12-13,103500
2019-12-16,95200
2019-12-17,87400
2019-12-18,203500
2019-12-19,62500
2019-12-20,83200
2019-12-23,89000
2019-12-24,34700
2019-12-27,124900
2019-12-30,123500
2019-12-31,124300
2020-01-02,103400
2020-01-03,104800
2020-01-06,268100
2020-01-07,150400
2020-01-08,203200
2020-01-09,117800
2020-01-10,119800
2020-01-13,232000
2020-01-14,132700
2020-01-15,116900
2020-01-16,178500
2020-01-17,119000
2020-01-20,134100
2020-01-21,199600
2020-01-22,169900
2020-01-23,101800
2020-01-24,196900
2020-01-27,176200
2020-01-28,176300
2020-01-29,227300
2020-01-30,104800
2020-01-31,148600
2020-02-03,185100
2020-02-04,83400
2020-02-05,219200
2020-02-06,95000
2020-02-07,210000
2020-02-10,178100
2020-02-11,412500
2020-02-12,197500
2020-02-13,124900
2020-02-14,136400
2020-02-18,182000
2020-02-19,109800
2020-02-20,158200
2020-02-21,103100
2020-02-24,155500
2020-02-25,192500
2020-02-26,146300
2020-02-27,98000
2020-02-28,288700
2020-03-02,342500
2020-03-03,320900
2020-03-04,124400
2020-03-05,238400
2020-03-06,179600
2020-03-09,336600
2020-03-10,179100
2020-03-11,181900
2020-03-12,807300
2020-03-13,456200
2020-03-16,304800
2020-03-17,119400
2020-03-18,633300
2020-03-19,648600
2020-03-20,317000
2020-03-23,315000
2020-03-24,119700
2020-03-25,479200
2020-03-26,168100
2020-03-27,157700
2020-03-30,715400
2020-03-31,133700
2020-04-01,228400
2020-04-02,316500
2020-04-03,146200
2020-04-06,94500
2020-04-07,104700
2020-04-08,180700
2020-04-09,168600
2020-04-13,340000
2020-04-14,282200
2020-04-15,435600
2020-04-16,127000
2020-04-17,247200
2020-04-20,235000
2020-04-21,213300
2020-04-22,186600
2020-04-23,306600
2020-04-24,54000
2020-04-27,42500
2020-04-28,107000
2020-04-29,118200
2020-04-30,225000
2020-05-01,159800
2020-05-04,164400
2020-05-05,46600
2020-05-06,65000
2020-05-07,50000
2020-05-08,77800
2020-05-11,146800
2020-05-12,146900
2020-05-13,85700
2020-05-14,86900
2020-05-15,105500
2020-05-19,80000
2020-05-20,57400
2020-05-21,60400
2020-05-22,110300
2020-05-25,47200
2020-05-26,88700
2020-05-27,102400
2020-05-28,127600
2020-05-29,37500
2020-06-01,191000
2020-06-02,94300
2020-06-03,218300
2020-06-04,89800
2020-06-05,129400
2020-06-08,178300
2020-06-09,187600
2020-06-10,105400
2020-06-11,74000
2020-06-12,145100
2020-06-15,87800
2020-06-16,132900
2020-06-17,58500
2020-06-18,43500
2020-06-19,91700
2020-06-22,61700
2020-06-23,62300
2020-06-24,144400
2020-06-25,31900
2020-06-26,28000
2020-06-29,81400
2020-06-30,77800
2020-07-02,99200
2020-07-03,97500
2020-07-06,136500
2020-07-07,70600
2020-07-08,289700
2020-07-09,115800
2020-07-10,64600
2020-07-13,112300
2020-07-14,38800
2020-07-15,78800
2020-07-16,78100
2020-07-17,85800
2020-07-20,107800
2020-07-21,71500
2020-07-22,119600
2020-07-23,107300
2020-07-24,73000
2020-07-27,79200
2020-07-28,45300
2020-07-29,71200
2020-07-30,34300
2020-07-31,52200
2020-08-04,128400
2020-08-05,178900
2020-08-06,37300
2020-08-07,95400
2020-08-10,58600
2020-08-11,128200
2020-08-12,140600
2020-08-13,85400
2020-08-14,137200
2020-08-17,79100
2020-08-18,173200
2020-08-19,107500
2020-08-20,77100
2020-08-21,97500
2020-08-24,109600
2020-08-25,256700
2020-08-26,124000
2020-08-27,139200
2020-08-28,86200
2020-08-31,130900
2020-09-01,136300
2020-09-02,94400
2020-09-03,174600
2020-09-04,184200
2020-09-08,126400
2020-09-09,75400
2020-09-10,124400
2020-09-11,48700
2020-09-14,95600
2020-09-15,70100
2020-09-16,70900
2020-09-17,121200
2020-09-18,55600
2020-09-21,78900
2020-09-22,79100
2020-09-23,114000
2020-09-24,63200
2020-09-25,84300
2020-09-28,150300
2020-09-29,44700
2020-09-30,140300
2020-10-01,97600
2020-10-02,87100
2020-10-05,160400
2020-10-06,266500
2020-10-07,123200
2020-10-08,84100
2020-10-09,68200
2020-10-13,86100
2020-10-14,101500
2020-10-15,142300
2020-10-16,61600
2020-10-19,125600
2020-10-20,143100
2020-10-21,74800
2020-10-22,103500
2020-10-23,118800
2020-10-26,153300
2020-10-27,62100
2020-10-28,97500
2020-10-29,125800
2020-10-30,125000
2020-11-02,102400
2020-11-03,120300
2020-11-04,95800
2020-11-05,103400
2020-11-06,78600
2020-11-09,233500
2020-11-10,133700
2020-11-11,142200
2020-11-12,141700
2020-11-13,288200
2020-11-16,142500
2020-11-17,677400
2020-11-18,142500
2020-11-19,76500
2020-11-20,95200
2020-11-23,122000
2020-11-24,126300
2020-11-25,198500
2020-11-26,57800
2020-11-27,334600
2020-11-30,147500
2020-12-01,361800
2020-12-02,226800
2020-12-03,149100
2020-12-04,141300
2020-12-07,174400
2020-12-08,103600
2020-12-09,177800
2020-12-10,93100
2020-12-11,88600
2020-12-14,110700
2020-12-15,127500
2020-12-16,97100
2020-12-17,151900
2020-12-18,190700
2020-12-21,118200
2020-12-22,189400
2020-12-23,114900
2020-12-24,43000
2020-12-29,109400
2020-12-30,65100
2020-12-31,68300
2021-01-04,214500
2021-01-05,146700
2021-01-06,320700
2021-01-07,161200
2021-01-08,185200
2021-01-11,167400
2021-01-12,196400
2021-01-13,217100
2021-01-14,251100
2021-01-15,80600
2021-01-18,112300
2021-01-19,144000
2021-01-20,129300
2021-01-21,174400
2021-01-22,160800
2021-01-25,151400
2021-01-26,200000
2021-01-27,176700
2021-01-28,131200
2021-01-29,166000
2021-02-01,520600
2021-02-02,146400
2021-02-03,254500
2021-02-04,209300
2021-02-05,221800
2021-02-08,312500
2021-02-09,114700
2021-02-10,156300
2021-02-11,148800
2021-02-12,196300
2021-02-16,221500
2021-02-17,233400
2021-02-18,162100
2021-02-19,224500
2021-02-22,295400
2021-02-23,274800
2021-02-24,268100
2021-02-25,304300
2021-02-26,255300
2021-03-01,246600
2021-03-02,179400
2021-03-03,180100
2021-03-04,169000
2021-03-05,410400
2021-03-08,162600
2021-03-09,142100
2021-03-10,147900
2021-03-11,124500
2021-03-12,193900
2021-03-15,117400
2021-03-16,141200
2021-03-17,202800
2021-03-18,194000
2021-03-19,168700
2021-03-22,139900
2021-03-23,114900
2021-03-24,81800
2021-03-25,70300
2021-03-26,54800
2021-03-29,124500
2021-03-30,136700
2021-03-31,110500
2021-04-01,109300
2021-04-05,189200
2021-04-06,121800
2021-04-07,110600
2021-04-08,75300
2021-04-09,86700
2021-04-12,123000
2021-04-13,107200
2021-04-14,115000
2021-04-15,161100
2021-04-16,197600
2021-04-19,100900
2021-04-20,116200
2021-04-21,128400
2021-04-22,178100
2021-04-23,79000
2021-04-26,109700
2021-04-27,92000
2021-04-28,145400
2021-04-29,147400
2021-04-30,120800
2021-05-03,124700
2021-05-04,66800
2021-05-05,310400
2021-05-06,106400
2021-05-07,271100
2021-05-10,142500
2021-05-11,335900
2021-05-12,101800
2021-05-13,70800
2021-05-14,74600
2021-05-17,123600
2021-05-18,114200
2021-05-19,197900
2021-05-20,73300
2021-05-21,63800
