date,business_insolvencies
2020-01-01,308
2020-02-01,324
2020-03-01,251
2020-04-01,164
2020-05-01,193
2020-06-01,250
2020-07-01,218
2020-08-01,178
2020-09-01,232
2020-10-01,240
2020-11-01,211
2020-12-01,217
2021-01-01,163
2021-02-01,201
2021-03-01,239
2021-04-01,200
2021-05-01,185
2021-06-01,223
2021-07-01,160
2021-08-01,168
2021-09-01,208
2021-10-01,230
2021-11-01,228
2021-12-01,275
2022-01-01,213
2022-02-01,276
2022-03-01,318
2022-04-01,258
2022-05-01,235
2022-06-01,303
2022-07-01,232
2022-08-01,279
2022-09-01,285
2022-10-01,303
2022-11-01,361
2022-12-01,339
2023-01-01,331
2023-02-01,304
2023-03-01,435
2023-04-01,344
2023-05-01,374
2023-06-01,372
2023-07-01,346
2023-08-01,383
2023-09-01,400
2023-10-01,494
2023-11-01,494
2023-12-01,533
2024-01-01,759
2024-02-01,675
2024-03-01,569
2024-04-01,551
2024-05-01,530
2024-06-01,460
2024-07-01,454
2024-08-01,412
2024-09-01,446
2024-10-01,469
2024-11-01,469
2024-12-01,394
2025-01-01,424
2025-02-01,456
2025-03-01,452
2025-04-01,468
2025-05-01,391
2025-06-01,419
2025-07-01,376
2025-08-01,328
2025-09-01,404
2025-10-01,429
2025-11-01,356
2025-12-01,337
2026-01-01,367
2026-02-01,408
2026-03-01,457
