date,cgz_open_interest_chg
2020-06-01,0.0
2020-06-02,0.0
2020-06-03,0.0
2020-06-04,0.0
2020-06-05,0.0
2020-06-08,0.0
2020-06-09,0.0
2020-06-10,0.0
2020-06-11,0.0
2020-06-12,0.0
2020-06-15,0.0
2020-06-16,0.0
2020-06-17,0.0
2020-06-18,0.0
2020-06-19,0.0
2020-06-22,0.0
2020-06-23,0.0
2020-06-24,0.0
2020-06-25,0.0
2020-06-26,0.0
2020-06-29,0.0
2020-06-30,0.0
2020-07-02,0.0
2020-07-03,0.0
2020-07-06,0.0
2020-07-07,0.0
2020-07-08,0.0
2020-07-09,0.0
2020-07-10,0.0
2020-07-13,0.0
2020-07-14,0.0
2020-07-15,0.0
2020-07-16,0.0
2020-07-17,0.0
2020-07-20,0.0
2020-07-21,0.0
2020-07-22,0.0
2020-07-23,0.0
2020-07-24,0.0
2020-07-27,0.0
2020-07-28,0.0
2020-07-29,0.0
2020-07-30,0.0
2020-07-31,0.0
2020-08-04,0.0
2020-08-05,0.0
2020-08-06,0.0
2020-08-07,0.0
2020-08-10,0.0
2020-08-11,0.0
2020-08-12,0.0
2020-08-13,0.0
2020-08-14,0.0
2020-08-17,0.0
2020-08-18,0.0
2020-08-19,0.0
2020-08-20,0.0
2020-08-21,0.0
2020-08-24,0.0
2020-08-25,0.0
2020-08-26,0.0
2020-08-27,0.0
2020-08-28,0.0
2020-08-31,0.0
2020-09-01,0.0
2020-09-02,0.0
2020-09-03,0.0
2020-09-04,0.0
2020-09-08,0.0
2020-09-09,0.0
2020-09-10,0.0
2020-09-11,0.0
2020-09-14,0.0
2020-09-15,0.0
2020-09-16,0.0
2020-09-17,0.0
2020-09-18,0.0
2020-09-21,0.0
2020-09-22,0.0
2020-09-23,0.0
2020-09-24,0.0
2020-09-25,0.0
2020-09-28,0.0
2020-09-29,0.0
2020-09-30,0.0
2020-10-01,0.0
2020-10-02,0.0
2020-10-05,0.0
2020-10-06,0.0
2020-10-07,0.0
2020-10-08,0.0
2020-10-09,0.0
2020-10-13,0.0
2020-10-14,0.0
2020-10-15,0.0
2020-10-16,0.0
2020-10-19,0.0
2020-10-20,0.0
2020-10-21,0.0
2020-10-22,0.0
2020-10-23,0.0
2020-10-26,0.0
2020-10-27,0.0
2020-10-28,0.0
2020-10-29,0.0
2020-10-30,0.0
2020-11-02,0.0
2020-11-03,0.0
2020-11-04,0.0
2020-11-05,0.0
2020-11-06,0.0
2020-11-09,0.0
2020-11-10,0.0
2020-11-12,0.0
2020-11-13,0.0
2020-11-16,0.0
2020-11-17,0.0
2020-11-18,0.0
2020-11-19,0.0
2020-11-20,0.0
2020-11-23,20.0
2020-11-24,40.0
2020-11-25,0.0
2020-11-26,29.0
2020-11-27,0.0
2020-11-30,50.0
2020-12-01,-15.0
2020-12-02,5945.0
2020-12-03,1383.0
2020-12-04,1773.0
2020-12-07,199.0
2020-12-08,-237.0
2020-12-09,-239.0
2020-12-10,1940.0
2020-12-11,4270.0
2020-12-14,5370.0
2020-12-15,-909.0
2020-12-16,2274.0
2020-12-17,2055.0
2020-12-18,-1567.0
2020-12-21,-1268.0
2020-12-22,-71.0
2020-12-23,49.0
2020-12-24,591.0
2020-12-29,1658.0
2020-12-30,2974.0
2020-12-31,230.0
2021-01-04,-959.0
2021-01-05,488.0
2021-01-06,2250.0
2021-01-07,1202.0
2021-01-08,-1782.0
2021-01-11,127.0
2021-01-12,181.0
2021-01-13,1359.0
2021-01-14,2664.0
2021-01-15,2894.0
2021-01-18,3902.0
2021-01-19,-207.0
2021-01-20,-4312.0
2021-01-21,-226.0
2021-01-22,2424.0
2021-01-25,173.0
2021-01-26,140.0
2021-01-27,2456.0
2021-01-28,846.0
2021-01-29,10393.0
2021-02-01,5235.0
2021-02-02,-3361.0
2021-02-03,-474.0
2021-02-04,11172.0
2021-02-05,-2434.0
2021-02-08,-9480.0
2021-02-09,-677.0
2021-02-10,0.0
2021-02-11,1942.0
2021-02-12,-2884.0
2021-02-16,-619.0
2021-02-17,3692.0
2021-02-18,6824.0
2021-02-19,906.0
2021-02-22,5205.0
2021-02-23,-825.0
2021-02-24,7175.0
