date,consumer_bankruptcies
2020-01-01,3840
2020-02-01,3867
2020-03-01,3741
2020-04-01,2181
2020-05-01,2047
2020-06-01,2185
2020-07-01,2285
2020-08-01,2273
2020-09-01,2606
2020-10-01,2724
2020-11-01,2615
2020-12-01,2516
2021-01-01,2128
2021-02-01,2304
2021-03-01,2888
2021-04-01,2635
2021-05-01,2369
2021-06-01,2321
2021-07-01,1953
2021-08-01,2137
2021-09-01,2234
2021-10-01,2172
2021-11-01,2377
2021-12-01,1943
2022-01-01,1768
2022-02-01,1866
2022-03-01,2341
2022-04-01,2129
2022-05-01,2185
2022-06-01,2196
2022-07-01,1952
2022-08-01,2144
2022-09-01,2185
2022-10-01,2008
2022-11-01,2106
2022-12-01,1706
2023-01-01,1859
2023-02-01,1975
2023-03-01,2431
2023-04-01,2111
2023-05-01,2532
2023-06-01,2302
2023-07-01,1975
2023-08-01,2260
2023-09-01,2193
2023-10-01,2271
2023-11-01,2447
2023-12-01,1860
2024-01-01,2193
2024-02-01,2272
2024-03-01,2384
2024-04-01,2575
2024-05-01,2825
2024-06-01,2345
2024-07-01,2535
2024-08-01,2367
2024-09-01,2345
2024-10-01,2698
2024-11-01,2497
2024-12-01,2004
2025-01-01,2221
2025-02-01,2230
2025-03-01,2533
2025-04-01,2640
2025-05-01,2631
2025-06-01,2529
2025-07-01,2611
2025-08-01,2383
2025-09-01,2793
2025-10-01,2724
2025-11-01,2484
2025-12-01,2510
2026-01-01,2349
2026-02-01,2479
2026-03-01,2748
