date,consumer_proposals
2020-01-01,7189
2020-02-01,7384
2020-03-01,7206
2020-04-01,4519
2020-05-01,4064
2020-06-01,4164
2020-07-01,4300
2020-08-01,4191
2020-09-01,5052
2020-10-01,5411
2020-11-01,5304
2020-12-01,4794
2021-01-01,4958
2021-02-01,5210
2021-03-01,6336
2021-04-01,5369
2021-05-01,5068
2021-06-01,5127
2021-07-01,4651
2021-08-01,4875
2021-09-01,5263
2021-10-01,5247
2021-11-01,5725
2021-12-01,4802
2022-01-01,4798
2022-02-01,5526
2022-03-01,6854
2022-04-01,5825
2022-05-01,6240
2022-06-01,6711
2022-07-01,5870
2022-08-01,6738
2022-09-01,6971
2022-10-01,6806
2022-11-01,7317
2022-12-01,5942
2023-01-01,6876
2023-02-01,7247
2023-03-01,9337
2023-04-01,7505
2023-05-01,8429
2023-06-01,8345
2023-07-01,7507
2023-08-01,8199
2023-09-01,8337
2023-10-01,8820
2023-11-01,9235
2023-12-01,7180
2024-01-01,8595
2024-02-01,9270
2024-03-01,9171
2024-04-01,9216
2024-05-01,9370
2024-06-01,8751
2024-07-01,9213
2024-08-01,9021
2024-09-01,9107
2024-10-01,10025
2024-11-01,9228
2024-12-01,7288
2025-01-01,8975
2025-02-01,8673
2025-03-01,9593
2025-04-01,9006
2025-05-01,9373
2025-06-01,8935
2025-07-01,9674
2025-08-01,8920
2025-09-01,9875
2025-10-01,9938
2025-11-01,9064
2025-12-01,8142
2026-01-01,9059
2026-02-01,9828
2026-03-01,10658
