date,gic_1y
1980-11-19,12.25
1980-11-26,12.25
1980-12-03,12.25
1980-12-10,12.75
1980-12-17,12.75
1980-12-24,13.0
1980-12-31,13.0
1981-01-07,13.0
1981-01-14,13.0
1981-01-21,12.75
1981-01-28,13.0
1981-02-04,13.0
1981-02-11,13.25
1981-02-18,13.25
1981-02-25,13.25
1981-03-04,13.5
1981-03-11,13.75
1981-03-18,13.75
1981-03-25,13.75
1981-04-01,14.0
1981-04-08,14.25
1981-04-15,14.25
1981-04-22,14.5
1981-04-29,15.0
1981-05-06,15.5
1981-05-13,16.0
1981-05-20,16.0
1981-05-27,16.0
1981-06-03,16.25
1981-06-10,16.25
1981-06-17,16.25
1981-06-24,16.25
1981-07-01,16.5
1981-07-08,16.5
1981-07-15,16.75
1981-07-22,16.75
1981-07-29,17.5
1981-08-05,18.25
1981-08-12,19.5
1981-08-19,19.5
1981-08-26,19.25
1981-09-02,19.0
1981-09-09,19.0
1981-09-16,19.0
1981-09-23,19.0
1981-09-30,19.0
1981-10-07,19.0
1981-10-14,18.5
1981-10-21,18.0
1981-10-28,18.0
1981-11-04,18.0
1981-11-11,17.0
1981-11-18,15.5
1981-11-25,14.75
1981-12-02,14.5
1981-12-09,14.5
1981-12-16,14.75
1981-12-23,14.75
1981-12-30,14.75
1982-01-06,15.0
1982-01-13,15.25
1982-01-20,15.25
1982-01-27,15.5
1982-02-03,15.5
1982-02-10,15.5
1982-02-17,15.75
1982-02-24,15.75
1982-03-03,15.75
1982-03-10,15.5
1982-03-17,15.25
1982-03-24,15.25
1982-03-31,15.25
1982-04-07,15.75
1982-04-14,15.75
1982-04-21,15.75
1982-04-28,15.75
1982-05-05,15.75
1982-05-12,15.5
1982-05-19,15.5
1982-05-26,15.25
1982-06-02,15.0
1982-06-09,15.0
1982-06-16,15.5
1982-06-23,16.0
1982-06-30,16.0
1982-07-07,16.5
1982-07-14,16.0
1982-07-21,16.0
1982-07-28,15.5
1982-08-04,15.25
1982-08-11,15.0
1982-08-18,14.5
1982-08-25,14.0
1982-09-01,13.5
1982-09-08,13.5
1982-09-15,13.5
1982-09-22,13.5
1982-09-29,13.0
1982-10-06,12.5
1982-10-13,12.0
1982-10-20,11.5
1982-10-27,11.5
1982-11-03,11.25
1982-11-10,11.25
1982-11-17,10.75
1982-11-24,10.75
1982-12-01,10.75
1982-12-08,10.75
1982-12-15,10.5
1982-12-22,10.0
1982-12-29,10.0
1983-01-05,10.0
1983-01-12,9.5
1983-01-19,9.5
1983-01-26,9.5
1983-02-02,9.5
1983-02-09,9.5
1983-02-16,9.5
1983-02-23,9.5
1983-03-02,9.5
1983-03-09,9.0
1983-03-16,9.0
1983-03-23,9.0
1983-03-30,9.0
1983-04-06,9.0
