date,insured_5yr_fixed
2013-01-01,2859.0
2013-02-01,2909.0
2013-03-01,3493.0
2013-04-01,5519.0
2013-05-01,5778.0
2013-06-01,5815.0
2013-07-01,4488.0
2013-08-01,4049.0
2013-09-01,3075.0
2013-10-01,2687.0
2013-11-01,2205.0
2013-12-01,1936.0
2014-01-01,1691.0
2014-02-01,1928.0
2014-03-01,2325.0
2014-04-01,2859.0
2014-05-01,3523.0
2014-06-01,3614.0
2014-07-01,3714.0
2014-08-01,3362.0
2014-09-01,2899.0
2014-10-01,3297.0
2014-11-01,2507.0
2014-12-01,2843.0
2015-01-01,2081.0
2015-02-01,2669.0
2015-03-01,3488.0
2015-04-01,4420.0
2015-05-01,4873.0
2015-06-01,5798.0
2015-07-01,5318.0
2015-08-01,4398.0
2015-09-01,3963.0
2015-10-01,4425.0
2015-11-01,4011.0
2015-12-01,4131.0
2016-01-01,3353.0
2016-02-01,3556.0
2016-03-01,3749.0
2016-04-01,3597.0
2016-05-01,4389.0
2016-06-01,5859.0
2016-07-01,5405.0
2016-08-01,4956.0
2016-09-01,4422.0
2016-10-01,4028.0
2016-11-01,4522.0
2016-12-01,4153.0
2017-01-01,2377.0
2017-02-01,1964.0
2017-03-01,2414.0
2017-04-01,2589.0
2017-05-01,3377.0
2017-06-01,4419.0
2017-07-01,4683.0
2017-08-01,4437.0
2017-09-01,3095.0
2017-10-01,3072.0
2017-11-01,2649.0
2017-12-01,2495.0
2018-01-01,2786.0
2018-02-01,3290.0
2018-03-01,3187.0
2018-04-01,3345.0
2018-05-01,4420.0
2018-06-01,4000.0
2018-07-01,3177.0
2018-08-01,3365.0
2018-09-01,2495.0
2018-10-01,3069.0
2018-11-01,3228.0
2018-12-01,2486.0
2019-01-01,2049.0
2019-02-01,2318.0
2019-03-01,2581.0
2019-04-01,3142.0
2019-05-01,4253.0
2019-06-01,4537.0
2019-07-01,5482.0
2019-08-01,5271.0
2019-09-01,5200.0
2019-10-01,5381.0
2019-11-01,5529.0
2019-12-01,4345.0
2020-01-01,3945.0
2020-02-01,4175.0
2020-03-01,5006.0
2020-04-01,6177.0
2020-05-01,6222.0
2020-06-01,7996.0
2020-07-01,7504.0
2020-08-01,7915.0
2020-09-01,8083.0
2020-10-01,8228.0
2020-11-01,7172.0
2020-12-01,5947.0
2021-01-01,4522.0
2021-02-01,4749.0
2021-03-01,5970.0
2021-04-01,5455.0
2021-05-01,4741.0
2021-06-01,5440.0
2021-07-01,3651.0
2021-08-01,2862.0
2021-09-01,2493.0
2021-10-01,2762.0
2021-11-01,3029.0
2021-12-01,2419.0
2022-01-01,1875.0
2022-02-01,2067.0
2022-03-01,2576.0
2022-04-01,2566.0
2022-05-01,2815.0
2022-06-01,3032.0
2022-07-01,2232.0
2022-08-01,1666.0
2022-09-01,1187.0
2022-10-01,1149.0
2022-11-01,1190.0
2022-12-01,992.0
2023-01-01,815.0
2023-02-01,980.0
2023-03-01,1197.0
2023-04-01,995.0
2023-05-01,1354.0
2023-06-01,1848.0
2023-07-01,2167.0
2023-08-01,2299.0
2023-09-01,1960.0
2023-10-01,1705.0
2023-11-01,1617.0
2023-12-01,1345.0
2024-01-01,933.0
2024-02-01,1114.0
2024-03-01,1309.0
2024-04-01,1547.0
2024-05-01,1870.0
2024-06-01,1975.0
2024-07-01,1886.0
2024-08-01,1902.0
2024-09-01,1637.0
2024-10-01,1744.0
2024-11-01,1829.0
2024-12-01,1843.0
2025-01-01,1444.0
2025-02-01,1588.0
2025-03-01,1782.0
2025-04-01,2515.0
2025-05-01,3781.0
2025-06-01,4364.0
2025-07-01,4084.0
2025-08-01,3782.0
2025-09-01,2647.0
2025-10-01,2618.0
2025-11-01,1860.0
2025-12-01,1746.0
2026-01-01,1741.0
2026-02-01,1919.0
2026-03-01,2071.0
2026-04-01,2498.0
2026-05-01,2526.0
2026-06-01,2327.0
