date,mortgage_funds_advanced
2013-01-01,7436.0
2013-02-01,7471.0
2013-03-01,9126.0
2013-04-01,13142.0
2013-05-01,14385.0
2013-06-01,14871.0
2013-07-01,12224.0
2013-08-01,10692.0
2013-09-01,7651.0
2013-10-01,6367.0
2013-11-01,4834.0
2013-12-01,4097.0
2014-01-01,3687.0
2014-02-01,4025.0
2014-03-01,4809.0
2014-04-01,6111.0
2014-05-01,7717.0
2014-06-01,8425.0
2014-07-01,8800.0
2014-08-01,7880.0
2014-09-01,6989.0
2014-10-01,7817.0
2014-11-01,6229.0
2014-12-01,6928.0
2015-01-01,5477.0
2015-02-01,5997.0
2015-03-01,7989.0
2015-04-01,10185.0
2015-05-01,11354.0
2015-06-01,13763.0
2015-07-01,12377.0
2015-08-01,9844.0
2015-09-01,9284.0
2015-10-01,9837.0
2015-11-01,9408.0
2015-12-01,9676.0
2016-01-01,7687.0
2016-02-01,7551.0
2016-03-01,7682.0
2016-04-01,8358.0
2016-05-01,10637.0
2016-06-01,13722.0
2016-07-01,13015.0
2016-08-01,12777.0
2016-09-01,11421.0
2016-10-01,10283.0
2016-11-01,12659.0
2016-12-01,11611.0
2017-01-01,7773.0
2017-02-01,6366.0
2017-03-01,8136.0
2017-04-01,8021.0
2017-05-01,11049.0
2017-06-01,13972.0
2017-07-01,16205.0
2017-08-01,15995.0
2017-09-01,11913.0
2017-10-01,11545.0
2017-11-01,10311.0
2017-12-01,9361.0
2018-01-01,9915.0
2018-02-01,9549.0
2018-03-01,8944.0
2018-04-01,9166.0
2018-05-01,11107.0
2018-06-01,9255.0
2018-07-01,7709.0
2018-08-01,7972.0
2018-09-01,6087.0
2018-10-01,8157.0
2018-11-01,9692.0
2018-12-01,7400.0
2019-01-01,5955.0
2019-02-01,6248.0
2019-03-01,7522.0
2019-04-01,9008.0
2019-05-01,12355.0
2019-06-01,12649.0
2019-07-01,16504.0
2019-08-01,17823.0
2019-09-01,17097.0
2019-10-01,19442.0
2019-11-01,19097.0
2019-12-01,16341.0
2020-01-01,14244.0
2020-02-01,13903.0
2020-03-01,16169.0
2020-04-01,17774.0
2020-05-01,16828.0
2020-06-01,19499.0
2020-07-01,20074.0
2020-08-01,21866.0
2020-09-01,24793.0
2020-10-01,25971.0
2020-11-01,23528.0
2020-12-01,21250.0
2021-01-01,16396.0
2021-02-01,16977.0
2021-03-01,22702.0
2021-04-01,18418.0
2021-05-01,15720.0
2021-06-01,17650.0
2021-07-01,11675.0
2021-08-01,9090.0
2021-09-01,8067.0
2021-10-01,9483.0
2021-11-01,10745.0
2021-12-01,8948.0
2022-01-01,7477.0
2022-02-01,7783.0
2022-03-01,9243.0
2022-04-01,9754.0
2022-05-01,10515.0
2022-06-01,10918.0
2022-07-01,8508.0
2022-08-01,6311.0
2022-09-01,4638.0
2022-10-01,4665.0
2022-11-01,4600.0
2022-12-01,3540.0
2023-01-01,2794.0
2023-02-01,3013.0
2023-03-01,3397.0
2023-04-01,2953.0
2023-05-01,3922.0
2023-06-01,5612.0
2023-07-01,6990.0
2023-08-01,7300.0
2023-09-01,5628.0
2023-10-01,4827.0
2023-11-01,4388.0
2023-12-01,3226.0
2024-01-01,2489.0
2024-02-01,2820.0
2024-03-01,3154.0
2024-04-01,3706.0
2024-05-01,4600.0
2024-06-01,4846.0
2024-07-01,5153.0
2024-08-01,4996.0
2024-09-01,4164.0
2024-10-01,4523.0
2024-11-01,4550.0
2024-12-01,4501.0
2025-01-01,3996.0
2025-02-01,4031.0
2025-03-01,4604.0
2025-04-01,6671.0
2025-05-01,9472.0
2025-06-01,10290.0
2025-07-01,9631.0
2025-08-01,8586.0
2025-09-01,5955.0
2025-10-01,5542.0
2025-11-01,4906.0
2025-12-01,4912.0
2026-01-01,4730.0
2026-02-01,5028.0
2026-03-01,6614.0
2026-04-01,8119.0
2026-05-01,6708.0
2026-06-01,6423.0
