date,nfc_credit
2020-01-01,1582692.0
2020-02-01,1601657.0
2020-03-01,1661460.0
2020-04-01,1677849.0
2020-05-01,1674206.0
2020-06-01,1662308.0
2020-07-01,1652610.0
2020-08-01,1645704.0
2020-09-01,1662761.0
2020-10-01,1671030.0
2020-11-01,1657507.0
2020-12-01,1664138.0
2021-01-01,1683083.0
2021-02-01,1686069.0
2021-03-01,1698548.0
2021-04-01,1693869.0
2021-05-01,1693515.0
2021-06-01,1727402.0
2021-07-01,1735915.0
2021-08-01,1756897.0
2021-09-01,1770877.0
2021-10-01,1773797.0
2021-11-01,1802571.0
2021-12-01,1817692.0
2022-01-01,1835856.0
2022-02-01,1847317.0
2022-03-01,1861574.0
2022-04-01,1881279.0
2022-05-01,1884908.0
2022-06-01,1901106.0
2022-07-01,1918441.0
2022-08-01,1944911.0
2022-09-01,1973282.0
2022-10-01,1980322.0
2022-11-01,1986398.0
2022-12-01,1989215.0
2023-01-01,1996248.0
2023-02-01,2016282.0
2023-03-01,2032290.0
2023-04-01,2043072.0
2023-05-01,2053777.0
2023-06-01,2047786.0
2023-07-01,2054708.0
2023-08-01,2076840.0
2023-09-01,2088408.0
2023-10-01,2106061.0
2023-11-01,2112006.0
2023-12-01,2102251.0
2024-01-01,2098757.0
2024-02-01,2112080.0
2024-03-01,2113282.0
2024-04-01,2129943.0
2024-05-01,2136886.0
2024-06-01,2148414.0
2024-07-01,2159283.0
2024-08-01,2166115.0
2024-09-01,2177880.0
2024-10-01,2210742.0
2024-11-01,2226256.0
2024-12-01,2227927.0
2025-01-01,2255988.0
2025-02-01,2272462.0
2025-03-01,2269170.0
2025-04-01,2254241.0
2025-05-01,2265967.0
2025-06-01,2281078.0
2025-07-01,2295127.0
2025-08-01,2304877.0
2025-09-01,2317364.0
2025-10-01,2328449.0
2025-11-01,2347846.0
2025-12-01,2340080.0
2026-01-01,2348017.0
2026-02-01,2360931.0
2026-03-01,2375072.0
2026-04-01,2371904.0
2026-05-01,2382458.0
2026-06-01,2398491.0
