date,nfc_credit_flow
2020-02-01,18965.0
2020-03-01,59803.0
2020-04-01,16389.0
2020-05-01,-3643.0
2020-06-01,-11898.0
2020-07-01,-9698.0
2020-08-01,-6906.0
2020-09-01,17057.0
2020-10-01,8269.0
2020-11-01,-13523.0
2020-12-01,6631.0
2021-01-01,18945.0
2021-02-01,2986.0
2021-03-01,12479.0
2021-04-01,-4679.0
2021-05-01,-354.0
2021-06-01,33887.0
2021-07-01,8513.0
2021-08-01,20982.0
2021-09-01,13980.0
2021-10-01,2920.0
2021-11-01,28774.0
2021-12-01,15121.0
2022-01-01,18164.0
2022-02-01,11461.0
2022-03-01,14257.0
2022-04-01,19705.0
2022-05-01,3629.0
2022-06-01,16198.0
2022-07-01,17335.0
2022-08-01,26470.0
2022-09-01,28371.0
2022-10-01,7040.0
2022-11-01,6076.0
2022-12-01,2817.0
2023-01-01,7033.0
2023-02-01,20034.0
2023-03-01,16008.0
2023-04-01,10782.0
2023-05-01,10705.0
2023-06-01,-5991.0
2023-07-01,6922.0
2023-08-01,22132.0
2023-09-01,11568.0
2023-10-01,17653.0
2023-11-01,5945.0
2023-12-01,-9755.0
2024-01-01,-3494.0
2024-02-01,13323.0
2024-03-01,1202.0
2024-04-01,16661.0
2024-05-01,6943.0
2024-06-01,11528.0
2024-07-01,10869.0
2024-08-01,6832.0
2024-09-01,11765.0
2024-10-01,32862.0
2024-11-01,15514.0
2024-12-01,1671.0
2025-01-01,28061.0
2025-02-01,16474.0
2025-03-01,-3292.0
2025-04-01,-14929.0
2025-05-01,11726.0
2025-06-01,15111.0
2025-07-01,14049.0
2025-08-01,9750.0
2025-09-01,12487.0
2025-10-01,11085.0
2025-11-01,19397.0
2025-12-01,-7766.0
2026-01-01,7937.0
2026-02-01,12914.0
2026-03-01,14141.0
2026-04-01,-3168.0
2026-05-01,10554.0
2026-06-01,16033.0
