date,nfc_nonmortgage_bank
2020-01-01,482861.0
2020-02-01,485250.0
2020-03-01,528461.0
2020-04-01,521584.0
2020-05-01,503401.0
2020-06-01,487035.0
2020-07-01,478912.0
2020-08-01,472833.0
2020-09-01,469160.0
2020-10-01,469307.0
2020-11-01,467672.0
2020-12-01,469184.0
2021-01-01,469444.0
2021-02-01,471385.0
2021-03-01,470041.0
2021-04-01,472937.0
2021-05-01,474899.0
2021-06-01,482761.0
2021-07-01,486744.0
2021-08-01,491600.0
2021-09-01,495711.0
2021-10-01,498598.0
2021-11-01,505577.0
2021-12-01,513547.0
2022-01-01,520542.0
2022-02-01,527923.0
2022-03-01,535851.0
2022-04-01,544860.0
2022-05-01,554014.0
2022-06-01,569265.0
2022-07-01,581386.0
2022-08-01,595108.0
2022-09-01,607077.0
2022-10-01,615496.0
2022-11-01,619294.0
2022-12-01,622830.0
2023-01-01,629917.0
2023-02-01,638672.0
2023-03-01,640883.0
2023-04-01,641341.0
2023-05-01,646492.0
2023-06-01,647916.0
2023-07-01,650571.0
2023-08-01,654903.0
2023-09-01,658073.0
2023-10-01,660926.0
2023-11-01,664975.0
2023-12-01,666089.0
2024-01-01,668407.0
2024-02-01,661662.0
2024-03-01,660321.0
2024-04-01,664505.0
2024-05-01,661701.0
2024-06-01,655840.0
2024-07-01,653561.0
2024-08-01,653154.0
2024-09-01,653472.0
2024-10-01,658134.0
2024-11-01,662189.0
2024-12-01,647387.0
2025-01-01,655574.0
2025-02-01,656822.0
2025-03-01,656602.0
2025-04-01,654463.0
2025-05-01,658244.0
2025-06-01,661120.0
2025-07-01,660147.0
2025-08-01,660211.0
2025-09-01,660137.0
2025-10-01,659897.0
2025-11-01,665071.0
2025-12-01,669381.0
2026-01-01,669794.0
2026-02-01,671753.0
2026-03-01,672886.0
2026-04-01,674624.0
2026-05-01,678434.0
2026-06-01,684740.0
