date,nfc_nonmortgage_loans
2020-01-01,689887.0
2020-02-01,695846.0
2020-03-01,744486.0
2020-04-01,756923.0
2020-05-01,744724.0
2020-06-01,730071.0
2020-07-01,723854.0
2020-08-01,719143.0
2020-09-01,720087.0
2020-10-01,720397.0
2020-11-01,716750.0
2020-12-01,722102.0
2021-01-01,728946.0
2021-02-01,734041.0
2021-03-01,741304.0
2021-04-01,744812.0
2021-05-01,747570.0
2021-06-01,757607.0
2021-07-01,764334.0
2021-08-01,772627.0
2021-09-01,780185.0
2021-10-01,783355.0
2021-11-01,793580.0
2021-12-01,803948.0
2022-01-01,811511.0
2022-02-01,817276.0
2022-03-01,823344.0
2022-04-01,834187.0
2022-05-01,843740.0
2022-06-01,859716.0
2022-07-01,878655.0
2022-08-01,895147.0
2022-09-01,909460.0
2022-10-01,919089.0
2022-11-01,923078.0
2022-12-01,928656.0
2023-01-01,938694.0
2023-02-01,950356.0
2023-03-01,956442.0
2023-04-01,959723.0
2023-05-01,966144.0
2023-06-01,966691.0
2023-07-01,971103.0
2023-08-01,979842.0
2023-09-01,986443.0
2023-10-01,994918.0
2023-11-01,997917.0
2023-12-01,994334.0
2024-01-01,981902.0
2024-02-01,972224.0
2024-03-01,971166.0
2024-04-01,977384.0
2024-05-01,976313.0
2024-06-01,974634.0
2024-07-01,975057.0
2024-08-01,974729.0
2024-09-01,977556.0
2024-10-01,986097.0
2024-11-01,993326.0
2024-12-01,983467.0
2025-01-01,999357.0
2025-02-01,1002932.0
2025-03-01,1003846.0
2025-04-01,1000696.0
2025-05-01,1007929.0
2025-06-01,1015655.0
2025-07-01,1019419.0
2025-08-01,1022171.0
2025-09-01,1023861.0
2025-10-01,1025821.0
2025-11-01,1032171.0
2025-12-01,1035971.0
2026-01-01,1036751.0
2026-02-01,1037685.0
2026-03-01,1038613.0
2026-04-01,1035731.0
2026-05-01,1039239.0
2026-06-01,1046347.0
