date,nfc_nonmortgage_nonbank
2020-01-01,207026.0
2020-02-01,210596.0
2020-03-01,216025.0
2020-04-01,235339.0
2020-05-01,241323.0
2020-06-01,243036.0
2020-07-01,244942.0
2020-08-01,246310.0
2020-09-01,250927.0
2020-10-01,251090.0
2020-11-01,249078.0
2020-12-01,252918.0
2021-01-01,259502.0
2021-02-01,262656.0
2021-03-01,271263.0
2021-04-01,271875.0
2021-05-01,272671.0
2021-06-01,274846.0
2021-07-01,277590.0
2021-08-01,281027.0
2021-09-01,284474.0
2021-10-01,284757.0
2021-11-01,288003.0
2021-12-01,290401.0
2022-01-01,290969.0
2022-02-01,289353.0
2022-03-01,287493.0
2022-04-01,289327.0
2022-05-01,289726.0
2022-06-01,290451.0
2022-07-01,297269.0
2022-08-01,300039.0
2022-09-01,302383.0
2022-10-01,303593.0
2022-11-01,303784.0
2022-12-01,305826.0
2023-01-01,308777.0
2023-02-01,311684.0
2023-03-01,315559.0
2023-04-01,318382.0
2023-05-01,319652.0
2023-06-01,318775.0
2023-07-01,320532.0
2023-08-01,324939.0
2023-09-01,328370.0
2023-10-01,333992.0
2023-11-01,332942.0
2023-12-01,328245.0
2024-01-01,313495.0
2024-02-01,310562.0
2024-03-01,310845.0
2024-04-01,312879.0
2024-05-01,314612.0
2024-06-01,318794.0
2024-07-01,321496.0
2024-08-01,321575.0
2024-09-01,324084.0
2024-10-01,327963.0
2024-11-01,331137.0
2024-12-01,336080.0
2025-01-01,343783.0
2025-02-01,346110.0
2025-03-01,347244.0
2025-04-01,346233.0
2025-05-01,349685.0
2025-06-01,354535.0
2025-07-01,359272.0
2025-08-01,361960.0
2025-09-01,363724.0
2025-10-01,365924.0
2025-11-01,367100.0
2025-12-01,366590.0
2026-01-01,366957.0
2026-02-01,365932.0
2026-03-01,365727.0
2026-04-01,361107.0
2026-05-01,360805.0
2026-06-01,361607.0
