date,resi_mortgage_credit
2020-01-01,1670563.0
2020-02-01,1679299.0
2020-03-01,1687902.0
2020-04-01,1697124.0
2020-05-01,1702109.0
2020-06-01,1707510.0
2020-07-01,1716249.0
2020-08-01,1727562.0
2020-09-01,1741737.0
2020-10-01,1756987.0
2020-11-01,1770761.0
2020-12-01,1782719.0
2021-01-01,1795526.0
2021-02-01,1805468.0
2021-03-01,1820668.0
2021-04-01,1840794.0
2021-05-01,1857245.0
2021-06-01,1879139.0
2021-07-01,1895217.0
2021-08-01,1910457.0
2021-09-01,1923400.0
2021-10-01,1938396.0
2021-11-01,1956757.0
2021-12-01,1972011.0
2022-01-01,1989248.0
2022-02-01,2005431.0
2022-03-01,2020601.0
2022-04-01,2036078.0
2022-05-01,2052737.0
2022-06-01,2067509.0
2022-07-01,2078936.0
2022-08-01,2087280.0
2022-09-01,2095456.0
2022-10-01,2101632.0
2022-11-01,2107504.0
2022-12-01,2112649.0
2023-01-01,2118947.0
2023-02-01,2125222.0
2023-03-01,2132179.0
2023-04-01,2138713.0
2023-05-01,2144323.0
2023-06-01,2151514.0
2023-07-01,2158832.0
2023-08-01,2168083.0
2023-09-01,2174953.0
2023-10-01,2182145.0
2023-11-01,2188844.0
2023-12-01,2193503.0
2024-01-01,2197783.0
2024-02-01,2204852.0
2024-03-01,2211807.0
2024-04-01,2217487.0
2024-05-01,2225376.0
2024-06-01,2232123.0
2024-07-01,2240050.0
2024-08-01,2249158.0
2024-09-01,2258809.0
2024-10-01,2268902.0
2024-11-01,2280579.0
2024-12-01,2288047.0
2025-01-01,2297230.0
2025-02-01,2306366.0
2025-03-01,2314605.0
2025-04-01,2324682.0
2025-05-01,2333672.0
2025-06-01,2342631.0
2025-07-01,2348059.0
2025-08-01,2359638.0
2025-09-01,2369725.0
2025-10-01,2381934.0
2025-11-01,2390801.0
2025-12-01,2396549.0
2026-01-01,2404786.0
2026-02-01,2412261.0
2026-03-01,2419350.0
2026-04-01,2426882.0
2026-05-01,2433210.0
2026-06-01,2442164.0
