date,uninsured_5yr_fixed
2013-01-01,4577.0
2013-02-01,4562.0
2013-03-01,5633.0
2013-04-01,7623.0
2013-05-01,8607.0
2013-06-01,9056.0
2013-07-01,7736.0
2013-08-01,6643.0
2013-09-01,4576.0
2013-10-01,3680.0
2013-11-01,2629.0
2013-12-01,2161.0
2014-01-01,1996.0
2014-02-01,2097.0
2014-03-01,2484.0
2014-04-01,3252.0
2014-05-01,4194.0
2014-06-01,4811.0
2014-07-01,5086.0
2014-08-01,4518.0
2014-09-01,4090.0
2014-10-01,4520.0
2014-11-01,3722.0
2014-12-01,4085.0
2015-01-01,3396.0
2015-02-01,3328.0
2015-03-01,4501.0
2015-04-01,5765.0
2015-05-01,6481.0
2015-06-01,7965.0
2015-07-01,7059.0
2015-08-01,5446.0
2015-09-01,5321.0
2015-10-01,5412.0
2015-11-01,5397.0
2015-12-01,5545.0
2016-01-01,4334.0
2016-02-01,3995.0
2016-03-01,3933.0
2016-04-01,4761.0
2016-05-01,6248.0
2016-06-01,7863.0
2016-07-01,7610.0
2016-08-01,7821.0
2016-09-01,6999.0
2016-10-01,6255.0
2016-11-01,8137.0
2016-12-01,7458.0
2017-01-01,5396.0
2017-02-01,4402.0
2017-03-01,5722.0
2017-04-01,5432.0
2017-05-01,7672.0
2017-06-01,9553.0
2017-07-01,11522.0
2017-08-01,11558.0
2017-09-01,8818.0
2017-10-01,8473.0
2017-11-01,7662.0
2017-12-01,6866.0
2018-01-01,7129.0
2018-02-01,6259.0
2018-03-01,5757.0
2018-04-01,5821.0
2018-05-01,6687.0
2018-06-01,5255.0
2018-07-01,4532.0
2018-08-01,4607.0
2018-09-01,3592.0
2018-10-01,5088.0
2018-11-01,6464.0
2018-12-01,4914.0
2019-01-01,3906.0
2019-02-01,3930.0
2019-03-01,4941.0
2019-04-01,5866.0
2019-05-01,8102.0
2019-06-01,8112.0
2019-07-01,11022.0
2019-08-01,12552.0
2019-09-01,11897.0
2019-10-01,14061.0
2019-11-01,13568.0
2019-12-01,11996.0
2020-01-01,10299.0
2020-02-01,9728.0
2020-03-01,11163.0
2020-04-01,11597.0
2020-05-01,10606.0
2020-06-01,11503.0
2020-07-01,12570.0
2020-08-01,13951.0
2020-09-01,16710.0
2020-10-01,17743.0
2020-11-01,16356.0
2020-12-01,15303.0
2021-01-01,11874.0
2021-02-01,12228.0
2021-03-01,16732.0
2021-04-01,12963.0
2021-05-01,10979.0
2021-06-01,12210.0
2021-07-01,8024.0
2021-08-01,6228.0
2021-09-01,5574.0
2021-10-01,6721.0
2021-11-01,7716.0
2021-12-01,6529.0
2022-01-01,5602.0
2022-02-01,5716.0
2022-03-01,6667.0
2022-04-01,7188.0
2022-05-01,7700.0
2022-06-01,7886.0
2022-07-01,6276.0
2022-08-01,4645.0
2022-09-01,3451.0
2022-10-01,3516.0
2022-11-01,3410.0
2022-12-01,2548.0
2023-01-01,1979.0
2023-02-01,2033.0
2023-03-01,2200.0
2023-04-01,1958.0
2023-05-01,2568.0
2023-06-01,3764.0
2023-07-01,4823.0
2023-08-01,5001.0
2023-09-01,3668.0
2023-10-01,3122.0
2023-11-01,2771.0
2023-12-01,1881.0
2024-01-01,1556.0
2024-02-01,1706.0
2024-03-01,1845.0
2024-04-01,2159.0
2024-05-01,2730.0
2024-06-01,2871.0
2024-07-01,3267.0
2024-08-01,3094.0
2024-09-01,2527.0
2024-10-01,2779.0
2024-11-01,2721.0
2024-12-01,2658.0
2025-01-01,2552.0
2025-02-01,2443.0
2025-03-01,2822.0
2025-04-01,4156.0
2025-05-01,5691.0
2025-06-01,5926.0
2025-07-01,5547.0
2025-08-01,4804.0
2025-09-01,3308.0
2025-10-01,2924.0
2025-11-01,3046.0
2025-12-01,3166.0
2026-01-01,2989.0
2026-02-01,3109.0
2026-03-01,4543.0
2026-04-01,5621.0
2026-05-01,4182.0
2026-06-01,4096.0
