month,bond_etf_net_sales_millions,bond_etf_net_assets_billions,source_url,prefix_used
2023-03,2297.0,84.4,https://www.sima-amvi.ca/wp-content/uploads/2023/04/IFIC-Monthly-Investment-Fund-Statistics-March-2023.pdf?id=28352&lang=en_CA,IFIC
2023-04,860.0,85.5,https://www.sima-amvi.ca/wp-content/uploads/2023/05/IFIC-Monthly-Investment-Fund-Statistics-April-2023.pdf?id=28386&lang=en_CA,IFIC
2023-05,819.0,84.7,https://www.sima-amvi.ca/wp-content/uploads/2023/06/IFIC-Monthly-Investment-Fund-Statistics-May-2023.pdf?id=28473&lang=en_CA,IFIC
2023-06,1177.0,85.9,https://www.sima-amvi.ca/wp-content/uploads/2023/07/IFIC-Monthly-Investment-Fund-Statistics-June-2023.pdf?id=28502&lang=en_CA,IFIC
2023-07,986.0,86.2,https://www.sima-amvi.ca/wp-content/uploads/2023/08/IFIC-Monthly-Investment-Fund-Statistics-July-2023.pdf?id=28605&lang=en_CA,IFIC
2023-08,641.0,86.3,https://www.sima-amvi.ca/wp-content/uploads/2023/09/IFIC-Monthly-Investment-Fund-Statistics-August-2023.pdf?id=28672&lang=en_CA,IFIC
2023-09,1040.0,85.4,https://www.sima-amvi.ca/wp-content/uploads/2023/10/IFIC-Monthly-Investment-Fund-Statistics-September-2023.pdf?id=28732&lang=en_CA,IFIC
2023-10,1410.0,86.3,https://www.sima-amvi.ca/wp-content/uploads/2023/11/IFIC-Monthly-Investment-Fund-Statistics-October-2023.pdf?id=28818&lang=en_CA,IFIC
2023-11,582.0,90.4,https://www.sima-amvi.ca/wp-content/uploads/2023/12/IFIC-Monthly-Investment-Fund-Statistics-November-2023.pdf?id=28903&lang=en_CA,IFIC
2023-12,1816.0,94.6,https://www.sima-amvi.ca/wp-content/uploads/2024/01/IFIC-Monthly-Investment-Fund-Statistics-December-2023.pdf?id=28947&lang=en_CA,IFIC
2024-01,321.0,94.1,https://www.sima-amvi.ca/wp-content/uploads/2024/02/IFIC-Monthly-Investment-Fund-Statistics-January-2024.pdf?id=29048&lang=en_CA,IFIC
2024-02,1182.0,94.8,https://www.sima-amvi.ca/wp-content/uploads/2024/03/IFIC-Monthly-Investment-Fund-Statistics-February-2024.pdf?id=29331&lang=en_CA,IFIC
