"Date","Symbol","Class Symbol","Root Symbol","Underlying Symbol","Strike Price","Expiry Date","Call/Put","Ins. Type","Bid Price","Ask Price","Bid Size","Ask Size","Last Price","Volume","Last Close Price","Net Change","Open Price","High Price","Low Price","Total Value","Nb. Trades","Settlement Price","Open Interest","Implied Volatility","Accrued Financing Value","Accrued Financing Date","CORRA Rate"
"2021-01-04","BAXF21","BAX","BAX","BAX",0,"2021-01-18",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,99.545,0,0,0,"",0
"2021-01-04","BAXG21","BAX","BAX","BAX",0,"2021-02-12",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,99.54,0,0,0,"",0
"2021-01-04","BAXH21","BAX","BAX","BAX",0,"2021-03-15",0,1,99.55,99.555,4102,3885,0,22150,0,0,99.545,99.555,99.545,2204793,595,99.55,183387,0,0,"",0
"2021-01-04","BAXM21","BAX","BAX","BAX",0,"2021-06-14",0,1,99.555,99.56,1007,1467,0,16933,0,0.005,99.55,99.565,99.545,1685417,729,99.555,198466,0,0,"",0
"2021-01-04","BAXU21","BAX","BAX","BAX",0,"2021-09-13",0,1,99.55,99.555,188,3308,0,11465,0,0.005,99.54,99.555,99.54,1140945,775,99.55,180559,0,0,"",0
"2021-01-04","BAXZ21","BAX","BAX","BAX",0,"2021-12-13",0,1,99.53,99.535,325,2142,0,5879,0,0,99.52,99.535,99.52,584878,526,99.53,171636,0,0,"",0
"2021-01-04","BAXH22","BAX","BAX","BAX",0,"2022-03-14",0,1,99.5,99.505,462,1930,0,12054,0,0.005,99.49,99.51,99.485,1199211,431,99.5,154338,0,0,"",0
"2021-01-04","BAXM22","BAX","BAX","BAX",0,"2022-06-13",0,1,99.46,99.465,621,377,0,8426,0,0.005,99.45,99.47,99.45,837766,549,99.46,109583,0,0,"",0
"2021-01-04","BAXU22","BAX","BAX","BAX",0,"2022-09-19",0,1,99.415,99.42,437,51,0,5358,0,0,99.395,99.425,99.395,532538,300,99.42,71830,0,0,"",0
"2021-01-04","BAXZ22","BAX","BAX","BAX",0,"2022-12-19",0,1,99.36,99.365,563,135,0,2836,0,-0.005,99.34,99.365,99.34,281576,468,99.365,42777,0,0,"",0
"2021-01-04","BAXH23","BAX","BAX","BAX",0,"2023-03-13",0,1,99.3,99.31,210,214,0,644,0,0,99.28,99.315,99.28,63909,96,99.305,23465,0,0,"",0
"2021-01-04","BAXM23","BAX","BAX","BAX",0,"2023-06-19",0,1,99.225,99.24,239,161,0,107,0,0.035,99.215,99.24,99.21,10607,32,99.23,6786,0,0,"",0
"2021-01-04","BAXU23","BAX","BAX","BAX",0,"2023-09-18",0,1,99.16,99.17,79,174,0,64,0,0.03,99.14,99.165,99.135,6339,24,99.16,3283,0,0,"",0
"2021-01-04","BAXZ23","BAX","BAX","BAX",0,"2023-12-18",0,1,99.09,99.105,198,193,0,0,0,0,0,0,0,0,0,99.09,1329,0,0,"",0
"2021-01-05","BAXF21","BAX","BAX","BAX",0,"2021-01-18",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,99.55,0,0,0,"",0
"2021-01-05","BAXG21","BAX","BAX","BAX",0,"2021-02-12",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,99.545,0,0,0,"",0
"2021-01-05","BAXH21","BAX","BAX","BAX",0,"2021-03-15",0,1,99.555,99.56,8850,4910,0,19019,0,0,99.555,99.56,99.55,1893254,400,99.555,193387,0,0,"",0
"2021-01-05","BAXM21","BAX","BAX","BAX",0,"2021-06-14",0,1,99.565,99.57,34,2272,0,12457,0,0.01,99.555,99.57,99.555,1240019,525,99.56,206090,0,0,"",0
"2021-01-05","BAXU21","BAX","BAX","BAX",0,"2021-09-13",0,1,99.555,99.56,1876,506,0,16855,0,0.005,99.555,99.565,99.55,1677702,692,99.555,185146,0,0,"",0
