"Date","Symbol","Class Symbol","Root Symbol","Underlying Symbol","Strike Price","Expiry Date","Call/Put","Ins. Type","Bid Price","Ask Price","Bid Size","Ask Size","Last Price","Volume","Last Close Price","Net Change","Open Price","High Price","Low Price","Total Value","Nb. Trades","Settlement Price","Open Interest","Implied Volatility","Accrued Financing Value","Accrued Financing Date","CORRA Rate"
"2023-06-01","CGZM23","CGZ","CGZ","CGZ",0,"2023-06-21",0,1,102.66,0,3,0,0,254,0,0,0,0,0,26065,1,102.67,683,0,0,"",0
"2023-06-01","CGZU23","CGZ","CGZ","CGZ",0,"2023-09-20",0,1,102.995,103.005,11,94,103,45957,102.99,0.01,103.03,103.06,102.87,4724552,3882,103.02,89203,0,0,"",0
"2023-06-01","CGZZ23","CGZ","CGZ","CGZ",0,"2023-12-18",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,103.44,0,0,0,"",0
"2023-06-01","CGZH24","CGZ","CGZ","CGZ",0,"2024-03-19",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,105.195,0,0,0,"",0
"2023-06-02","CGZM23","CGZ","CGZ","CGZ",0,"2023-06-21",0,1,102.49,0,3,0,0,0,0,0,0,0,0,0,0,102.49,429,0,0,"",0
"2023-06-02","CGZU23","CGZ","CGZ","CGZ",0,"2023-09-20",0,1,102.815,102.825,24,25,102.815,38858,103.02,-0.205,102.99,103.01,102.815,3994257,4251,102.84,92224,0,0,"",0
"2023-06-02","CGZZ23","CGZ","CGZ","CGZ",0,"2023-12-18",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,103.26,0,0,0,"",0
"2023-06-02","CGZH24","CGZ","CGZ","CGZ",0,"2024-03-19",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,105.015,0,0,0,"",0
"2023-06-05","CGZM23","CGZ","CGZ","CGZ",0,"2023-06-21",0,1,102.33,0,10,0,0,0,0,0,0,0,0,0,0,102.445,429,0,0,"",0
"2023-06-05","CGZU23","CGZ","CGZ","CGZ",0,"2023-09-20",0,1,102.765,102.785,2,11,102.765,32364,102.84,-0.075,102.81,102.925,102.705,3325254,3219,102.775,86737,0,0,"",0
"2023-06-05","CGZZ23","CGZ","CGZ","CGZ",0,"2023-12-18",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,103.195,0,0,0,"",0
"2023-06-05","CGZH24","CGZ","CGZ","CGZ",0,"2024-03-19",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,104.95,0,0,0,"",0
"2023-06-06","CGZM23","CGZ","CGZ","CGZ",0,"2023-06-21",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,102.4,429,0,0,"",0
"2023-06-06","CGZU23","CGZ","CGZ","CGZ",0,"2023-09-20",0,1,102.665,102.68,98,5,102.665,40321,102.775,-0.11,102.78,102.81,102.66,4138811,3604,102.675,89241,0,0,"",0
"2023-06-06","CGZZ23","CGZ","CGZ","CGZ",0,"2023-12-18",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,103.095,0,0,0,"",0
"2023-06-06","CGZH24","CGZ","CGZ","CGZ",0,"2024-03-19",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,104.85,0,0,0,"",0
"2023-06-07","CGZM23","CGZ","CGZ","CGZ",0,"2023-06-21",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,102.035,413,0,0,"",0
"2023-06-07","CGZU23","CGZ","CGZ","CGZ",0,"2023-09-20",0,1,102.34,102.355,9,100,102.34,65419,102.675,-0.335,102.69,102.745,102.265,6692678,7490,102.31,83193,0,0,"",0
"2023-06-07","CGZZ23","CGZ","CGZ","CGZ",0,"2023-12-18",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,102.73,0,0,0,"",0
"2023-06-07","CGZH24","CGZ","CGZ","CGZ",0,"2024-03-19",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,104.485,0,0,0,"",0
"2023-06-08","CGZM23","CGZ","CGZ","CGZ",0,"2023-06-21",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,102.165,413,0,0,"",0
"2023-06-08","CGZU23","CGZ","CGZ","CGZ",0,"2023-09-20",0,1,102.4,102.415,64,258,102.405,67958,102.31,0.095,102.335,102.485,102.29,6947119,7121,102.44,86111,0,0,"",0
"2023-06-08","CGZZ23","CGZ","CGZ","CGZ",0,"2023-12-18",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,102.86,0,0,0,"",0
"2023-06-08","CGZH24","CGZ","CGZ","CGZ",0,"2024-03-19",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,104.615,0,0,0,"",0
"2023-06-09","CGZM23","CGZ","CGZ","CGZ",0,"2023-06-21",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,102.21,413,0,0,"",0
"2023-06-09","CGZU23","CGZ","CGZ","CGZ",0,"2023-09-20",0,1,102.475,102.48,4,62,102.475,36484,102.44,0.035,102.385,102.645,102.3,3735462,4707,102.485,92596,0,0,"",0
"2023-06-09","CGZZ23","CGZ","CGZ","CGZ",0,"2023-12-18",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,102.905,0,0,0,"",0
"2023-06-09","CGZH24","CGZ","CGZ","CGZ",0,"2024-03-19",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,104.66,0,0,0,"",0
