"Date","Symbol","Class Symbol","Root Symbol","Underlying Symbol","Strike Price","Expiry Date","Call/Put","Ins. Type","Bid Price","Ask Price","Bid Size","Ask Size","Last Price","Volume","Last Close Price","Net Change","Open Price","High Price","Low Price","Total Value","Nb. Trades","Settlement Price","Open Interest","Implied Volatility","Accrued Financing Value","Accrued Financing Date","CORRA Rate"
"2026-06-01","COAK26","COA","COA","COA",0,"2026-06-01",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,97.735,270,0,0,"2026-01-30",0
"2026-06-01","COAM26","COA","COA","COA",0,"2026-07-02",0,1,0,0,0,0,97.735,77,97.735,0,97.7475,97.7475,97.735,7523,5,97.735,170,0,0,"2026-02-27",0
"2026-06-01","COAN26","COA","COA","COA",0,"2026-08-04",0,1,0,0,0,0,97.72,50,97.72,0,97.72,97.72,97.72,4886,1,97.72,182,0,0,"2026-03-31",0
"2026-06-01","COAQ26","COA","COA","COA",0,"2026-09-01",0,1,0,0,0,0,97.705,50,97.71,-0.005,97.705,97.705,97.705,4885,1,97.71,118,0,0,"2026-04-30",0
"2026-06-01","COAU26","COA","COA","COA",0,"2026-10-01",0,1,0,0,0,0,97.645,250,97.68,-0.035,97.65,97.65,97.63,24409,5,97.655,0,0,0,"2026-05-29",0
"2026-06-02","COAM26","COA","COA","COA",0,"2026-07-02",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,97.735,120,0,0,"2026-02-27",0
"2026-06-02","COAN26","COA","COA","COA",0,"2026-08-04",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,97.72,132,0,0,"2026-03-31",0
"2026-06-02","COAQ26","COA","COA","COA",0,"2026-09-01",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,97.71,168,0,0,"2026-04-30",0
"2026-06-02","COAU26","COA","COA","COA",0,"2026-10-01",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,97.655,250,0,0,"2026-05-29",0
"2026-06-03","COAM26","COA","COA","COA",0,"2026-07-02",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,97.735,120,0,0,"2026-02-27",0
"2026-06-03","COAN26","COA","COA","COA",0,"2026-08-04",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,97.725,132,0,0,"2026-03-31",0
