"Date","Symbol","Class Symbol","Root Symbol","Underlying Symbol","Strike Price","Expiry Date","Call/Put","Ins. Type","Bid Price","Ask Price","Bid Size","Ask Size","Last Price","Volume","Last Close Price","Net Change","Open Price","High Price","Low Price","Total Value","Nb. Trades","Settlement Price","Open Interest","Implied Volatility","Accrued Financing Value","Accrued Financing Date","CORRA Rate"
"2022-12-01","CRAU22","CRA","CRA","CRA",0,"2022-12-21",0,1,96.3775,96.385,125,20,0,45,0,0.0025,96.38,96.38,96.38,0,2,96.3775,4495,0,0,"",0
"2022-12-01","CRAZ22","CRA","CRA","CRA",0,"2023-03-15",0,1,95.815,95.83,125,125,0,1667,0,0.035,95.805,95.81,95.805,0,7,95.81,9297,0,0,"",0
"2022-12-01","CRAH23","CRA","CRA","CRA",0,"2023-06-21",0,1,95.72,95.73,2,125,0,23,0,0.1,95.71,95.71,95.71,0,1,95.705,7175,0,0,"",0
"2022-12-01","CRAM23","CRA","CRA","CRA",0,"2023-09-20",0,1,0,0,0,0,0,419,0,0.125,95.675,95.715,95.675,0,32,95.695,5168,0,0,"",0
"2022-12-01","CRAU23","CRA","CRA","CRA",0,"2023-12-20",0,1,95.835,0,4,0,0,895,0,0.14,95.82,95.85,95.8,0,84,95.825,5171,0,0,"",0
"2022-12-01","CRAZ23","CRA","CRA","CRA",0,"2024-03-20",0,1,96.115,96.13,10,15,0,222,0,0.115,96.095,96.14,96.08,0,28,96.13,1774,0,0,"",0
"2022-12-01","CRAH24","CRA","CRA","CRA",0,"2024-06-19",0,1,0,96.475,0,45,0,262,0,0.125,96.425,96.485,96.425,0,21,96.465,425,0,0,"",0
"2022-12-01","CRAM24","CRA","CRA","CRA",0,"2024-09-18",0,1,0,0,0,0,0,405,0,0.125,96.735,96.815,96.725,0,83,96.78,1128,0,0,"",0
"2022-12-01","CRAU24","CRA","CRA","CRA",0,"2024-12-18",0,1,0,0,0,0,0,648,0,0.155,96.935,97.05,96.925,0,54,97.015,1660,0,0,"",0
"2022-12-01","CRAZ24","CRA","CRA","CRA",0,"2025-03-19",0,1,0,0,0,0,0,87,0,0.18,97.12,97.22,97.12,0,12,97.17,134,0,0,"",0
