"Gross domestic product (GDP) at basic prices, by industry, monthly (x 1,000,000) 1 2"
"Frequency: Monthly"
"Table: 36-10-0434-01 (formerly CANSIM 379-0031)"
"Release date: 2026-08-28"
"Geography: Canada"
""
""

"Seasonal adjustment","Seasonally adjusted at annual rates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prices","Chained (2017) dollars 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North American Industry Classification System (NAICS) 4","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023","November 2023","December 2023","January 2024","February 2024","March 2024","April 2024","May 2024","June 2024","July 2024","August 2024","September 2024","October 2024","November 2024","December 2024","January 2025","February 2025","March 2025","April 2025","May 2025","June 2025","July 2025","August 2025","September 2025","October 2025","November 2025","December 2025","January 2026","February 2026","March 2026","April 2026","May 2026","June 2026"
,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All industries  [T001] 5","2,111,589","2,116,017","1,956,479","1,747,938","1,828,028","1,936,321","1,986,120","2,005,910","2,024,699","2,037,348","2,051,205","2,056,758","2,068,509","2,071,653","2,093,651","2,072,052","2,067,784","2,087,291","2,101,493","2,119,124","2,129,287","2,147,254","2,157,217","2,166,129","2,160,859","2,183,889","2,196,942","2,197,345","2,202,456","2,211,634","2,214,919","2,221,513","2,226,368","2,223,909","2,221,392","2,214,902","2,236,190","2,243,830","2,250,566","2,250,710","2,251,250","2,248,378","2,250,903","2,251,926","2,251,153","2,253,540","2,259,470","2,256,668","2,262,764","2,276,470","2,277,491","2,285,643","2,289,038","2,294,051","2,298,623","2,301,315","2,307,523","2,317,073","2,312,337","2,317,000","2,329,713","2,326,072","2,330,230","2,328,390","2,324,814","2,322,727","2,338,957","2,337,688","2,342,161","2,336,171","2,338,062","2,340,690","2,340,294","2,344,080","2,340,472","2,355,245","2,363,056","2,369,309"
"Goods-producing industries  [T002] 5","563,466","568,946","539,922","459,678","500,399","528,151","537,316","538,727","542,101","546,016","551,674","557,054","561,995","557,795","562,588","558,602","555,435","559,196","556,754","556,384","553,898","562,000","560,026","565,979","568,859","575,905","577,937","580,393","579,044","583,409","584,560","585,875","586,356","580,760","579,302","572,272","578,151","580,807","583,067","584,812","577,850","578,554","579,286","578,171","576,057","576,488","580,734","580,671","572,038","579,587","579,452","581,029","581,928","584,256","583,408","584,079","583,812","588,635","585,543","587,721","595,718","592,339","595,102","590,995","586,031","584,506","595,250","594,533","596,865","593,329","591,428","590,365","589,867","590,325","586,191","594,835","598,177","597,802"
"Services-producing industries  [T003] 5","1,547,993","1,547,231","1,417,639","1,287,600","1,328,268","1,408,669","1,448,998","1,467,064","1,482,305","1,491,005","1,499,244","1,499,640","1,504,261","1,512,341","1,529,917","1,512,344","1,511,633","1,527,695","1,545,163","1,563,862","1,577,176","1,586,832","1,599,340","1,602,028","1,593,302","1,609,006","1,620,290","1,617,522","1,624,579","1,628,815","1,630,798","1,636,127","1,640,612","1,644,904","1,643,984","1,645,809","1,661,105","1,666,017","1,670,442","1,668,506","1,677,839","1,673,988","1,675,851","1,678,389","1,680,259","1,682,382","1,683,462","1,680,584","1,697,917","1,703,069","1,704,199","1,710,812","1,713,201","1,715,539","1,721,400","1,723,362","1,730,240","1,734,349","1,733,113","1,735,351","1,738,931","1,739,367","1,740,481","1,743,703","1,746,153","1,745,851","1,749,773","1,749,335","1,751,203","1,749,231","1,753,617","1,757,744","1,757,922","1,761,365","1,762,628","1,767,586","1,771,719","1,778,881"
"Business sector industries  [T004]","1,719,030","1,722,809","1,585,168","1,393,651","1,464,191","1,566,540","1,606,663","1,621,062","1,636,529","1,647,220","1,660,321","1,663,851","1,675,163","1,676,894","1,695,151","1,677,562","1,670,188","1,686,856","1,699,160","1,716,629","1,724,973","1,743,805","1,752,846","1,761,245","1,757,710","1,778,249","1,790,999","1,790,412","1,793,641","1,801,094","1,803,649","1,809,472","1,813,566","1,808,771","1,804,846","1,797,467","1,817,341","1,823,752","1,829,722","1,832,031","1,830,135","1,826,487","1,828,447","1,828,472","1,827,038","1,829,707","1,840,042","1,841,474","1,837,378","1,848,442","1,847,337","1,853,923","1,855,089","1,858,367","1,861,161","1,862,763","1,868,966","1,878,194","1,873,797","1,878,087","1,889,192","1,885,881","1,890,257","1,886,290","1,882,919","1,881,638","1,897,956","1,898,265","1,903,308","1,899,164","1,898,530","1,900,366","1,900,292","1,904,117","1,899,738","1,912,967","1,919,228","1,923,955"
"Non-business sector industries  [T007]","393,074","393,776","371,481","353,496","363,219","369,701","379,285","384,513","387,741","389,562","390,229","392,047","392,476","394,032","397,961","394,103","397,401","400,322","402,298","402,467","404,331","403,394","404,325","404,790","403,122","405,384","405,418","406,315","408,153","409,774","410,417","411,089","411,715","414,209","415,707","416,753","417,932","419,147","419,963","417,706","420,410","421,383","422,055","423,210","424,006","423,810","419,120","414,702","425,715","428,232","430,303","431,721","433,916","435,588","437,300","438,356","438,191","438,370","438,007","438,337","439,947","439,755","439,620","441,984","441,895","441,107","440,807","439,153","438,476","436,578","439,265","440,055","439,663","439,517","440,368","441,842","443,396","444,977"
"Industrial production  [T010] 5","369,824","374,822","349,948","296,774","316,604","335,367","347,227","349,325","352,535","355,236","361,291","365,009","368,716","363,824","365,952","358,469","359,088","366,190","367,381","368,044","366,249","373,145","369,579","372,863","373,355","376,509","377,019","379,197","377,523","380,627","381,136","380,276","381,479","375,554","374,996","369,917","376,304","379,460","381,373","382,194","377,413","378,303","379,322","378,888","377,443","377,977","381,735","382,160","374,505","380,381","378,467","380,495","381,107","383,829","383,268","382,688","380,954","385,452","382,531","384,467","391,659","388,708","390,358","386,137","381,065","378,709","387,118","384,697","386,506","384,543","382,996","383,351","383,906","386,668","383,938","391,034","393,340","392,804"
"Non-durable manufacturing industries  [T011] 5","94,017","94,626","92,144","79,818","84,374","89,488","92,973","93,057","94,137","96,009","97,169","96,488","97,796","95,604","96,095","95,768","95,058","95,904","96,400","97,148","96,277","96,988","97,031","99,275","98,403","99,904","100,167","98,780","96,281","96,521","96,431","96,195","95,927","95,348","93,650","93,873","95,375","94,040","95,459","96,363","97,026","94,557","93,773","93,505","93,858","92,296","93,607","93,277","93,411","95,086","93,161","93,777","94,741","96,106","97,178","95,277","95,191","95,638","94,122","93,180","93,758","93,456","93,090","92,609","89,636","90,686","91,484","91,616","92,325","92,199","91,356","91,420","90,994","91,237","91,508","91,122","92,806","92,493"
"Durable manufacturing industries  [T012] 5","111,089","113,963","98,794","73,954","84,948","100,731","106,148","109,796","110,162","108,954","110,583","111,474","112,538","111,293","113,149","109,303","108,836","111,685","110,742","110,558","107,654","112,491","113,766","113,861","115,184","114,116","115,034","115,089","114,299","116,818","115,222","114,770","115,046","112,898","113,943","113,777","116,824","118,672","118,820","117,924","118,015","118,198","117,237","117,073","116,493","116,255","114,829","113,192","112,367","112,451","111,643","111,379","111,856","110,465","109,625","110,752","110,354","110,495","111,570","109,811","111,930","112,859","111,210","108,959","109,600","106,853","109,749","107,824","109,167","107,102","105,037","106,388","104,042","106,697","106,119","108,550","108,394","109,893"
"Information and communication technology sector  [T013] 5","107,642","107,809","104,039","104,821","104,902","106,428","108,119","109,213","109,650","111,427","112,856","112,693","115,149","114,625","115,414","115,578","116,035","116,617","117,611","119,078","120,260","121,533","122,655","123,893","123,815","124,944","125,810","126,023","126,673","127,253","129,139","129,890","130,685","131,278","131,252","131,674","132,516","135,097","135,006","135,296","136,340","136,898","136,674","137,010","137,081","136,888","137,087","136,383","138,073","137,765","137,546","138,328","138,501","138,277","137,735","137,369","138,029","138,070","137,799","137,488","137,631","139,997","139,165","138,742","139,753","139,420","139,240","138,901","140,301","140,654","140,357","141,354","141,552","141,934","143,119","142,842","142,196","142,442"
