"Credit liabilities of households (x 1,000,000)"
"Frequency: Monthly"
"Table: 36-10-0639-01"
"Release date: 2026-08-19"
"Geography: Canada"
""
""

"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seasonality","Seasonally adjusted data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Credit liabilities of households 1","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023","November 2023","December 2023","January 2024","February 2024","March 2024","April 2024","May 2024","June 2024","July 2024","August 2024","September 2024","October 2024","November 2024","December 2024","January 2025","February 2025","March 2025","April 2025","May 2025","June 2025","July 2025","August 2025","September 2025","October 2025","November 2025","December 2025","January 2026","February 2026","March 2026","April 2026","May 2026","June 2026"
,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chartered banks 2","505,816","509,073","502,591","490,542","485,222","485,630","486,139","487,931","488,548","488,501","487,813","485,592","484,835","482,857","482,592","484,058","484,523","486,247","485,693","486,017","487,798","488,897","493,625","494,056","494,940","497,449","500,262","504,214","507,687","509,692","509,796","512,454","513,864","516,459","517,336","518,604","518,628","520,368","520,336","523,061","526,832","527,246","529,479","530,313","530,761","532,372","534,783","536,885","540,014","542,697","544,933","548,999","549,009","551,323","553,867","555,282","557,491","560,191","560,893","564,801","564,931","565,973","568,596","569,380","569,913","573,162","574,082","575,972","579,454","579,657","581,375","584,330","586,348","589,420","592,032","593,873","597,033","600,261"
"Personal loans 2 3","111,058","111,671","111,398","110,506","109,706","110,435","111,451","111,846","112,095","112,506","112,917","113,144","115,369","115,216","115,317","116,052","116,034","116,347","116,224","116,362","116,502","116,492","116,921","116,856","116,945","117,221","117,831","118,201","118,494","118,637","118,626","119,000","119,683","120,213","120,483","120,729","121,097","121,359","121,728","122,041","123,061","123,637","124,268","124,622","124,628","124,585","124,775","125,037","125,139","125,334","125,502","125,868","125,662","125,736","125,859","125,852","126,076","126,698","126,863","127,279","127,241","127,198","127,485","127,604","127,695","127,916","128,034","128,171","128,340","128,358","128,579","128,870","129,297","129,538","129,490","129,612","129,724","129,736"
"Of which: Auto loans 2 3","88,066","88,825","88,666","87,650","87,337","87,814","88,682","89,052","89,633","89,851","90,190","90,515","90,399","90,659","91,142","91,658","91,598","91,744","91,678","91,619","91,353","91,524","91,680","91,937","92,172","92,585","93,073","93,304","93,662","93,629","93,357","93,732","94,570","95,065","95,523","95,936","96,630","97,332","97,833","98,401","98,984","99,370","99,713","99,933","100,061","100,244","100,498","100,759","101,051","101,447","101,715","102,094","102,052","107,732","107,645","107,422","107,702","108,223","108,629","109,066","109,199","109,382","109,663","109,950","110,039","109,887","109,647","109,264","109,064","109,233","109,555","110,034","110,359","110,704","110,976","111,228","111,218","111,185"
"Credit cards 2 3","89,261","90,899","85,351","78,641","78,051","78,708","78,538","79,317","78,323","78,139","78,028","77,069","76,226","75,270","75,837","75,407","75,435","75,902","76,831","77,479","78,306","78,841","79,984","80,571","80,942","81,937","82,525","84,032","85,311","86,062","86,460","87,613","88,783","90,613","90,577","91,572","92,857","93,777","93,989","95,623","96,834","97,174","98,733","99,166","99,830","101,024","102,305","103,073","104,386","105,123","105,946","106,577","106,939","107,447","108,140","108,745","109,314","109,924","109,912","110,953","111,078","111,414","112,464","112,223","112,187","113,446","113,059","113,794","114,733","114,103","114,064","115,631","116,326","116,840","117,106","117,846","118,678","118,930"
"Lines of credit 2 3 4","240,322","240,159","241,932","237,984","234,160","232,451","231,465","231,052","231,512","230,406","228,965","227,388","224,643","223,166","221,483","221,865","221,309","221,036","220,721","220,410","220,664","221,006","221,909","222,590","223,049","223,985","225,006","226,119","227,794","228,650","229,111","230,078","230,192","230,119","230,110","229,716","229,293","229,238","228,946","229,034","229,358","228,952","228,461","228,145","227,937","228,233","228,935","229,913","231,273","232,389","232,847","234,413","233,875","234,488","235,438","235,920","236,589","237,578","237,821","238,650","239,551","240,017","240,821","242,084","242,363","243,284","244,261","244,860","245,926","246,393","247,066","247,722","247,902","248,498","249,393","249,916","250,872","252,122"
"Lines of credit, of which: excluding home equity lines of credit 2 3","70,412","70,297","71,092","68,833","67,077","66,381","66,034","65,942","65,764","65,540","65,017","64,549","64,198","63,854","63,683","63,510","63,203","63,193","63,201","63,063","63,169","63,288","63,687","64,037","64,422","64,615","64,922","65,352","66,030","66,504","66,705","67,141","67,305","67,534","67,784","67,875","67,649","67,972","68,142","68,321","69,001","69,255","69,447","69,637","69,811","70,075","70,360","70,608","71,332","71,773","71,921","72,331","72,367","72,641","73,152","73,358","73,574","73,876","73,994","74,381","74,529","74,752","75,149","75,522","75,585","75,812","75,945","76,066","76,347","76,485","76,689","76,911","77,059","77,090","77,325","77,453","77,638","77,950"
"Other personal loans 2 3","25,203","25,420","23,556","23,941","24,046","24,504","24,953","25,563","26,192","27,091","27,425","27,941","28,882","29,358","29,943","30,266","30,806","31,448","30,589","30,388","30,837","30,889","32,370","31,645","31,733","31,424","31,500","32,035","31,806","31,786","31,440","31,587","31,165","30,663","30,394","30,238","29,526","29,882","29,577","29,474","29,750","29,065","29,352","29,444","29,155","28,969","28,518","28,229","28,621","28,705","29,076","29,691","29,589","29,959","30,298","30,180","30,296","30,713","30,886","32,219","31,620","31,398","31,269","30,690","30,838","31,161","31,301","31,449","32,162","32,742","33,358","33,553","33,910","34,455","34,853","34,921","35,778","36,797"
"Unincorporated business 2 3","39,972","40,924","40,354","39,470","39,259","39,532","39,732","40,153","40,426","40,359","40,478","40,050","39,715","39,847","40,012","40,468","40,939","41,514","41,328","41,378","41,489","41,669","42,441","42,394","42,271","42,882","43,400","43,827","44,282","44,557","44,159","44,176","44,041","44,851","45,772","46,349","45,855","46,112","46,096","46,889","47,829","48,418","48,665","48,936","49,211","49,561","50,250","50,633","50,595","51,146","51,562","52,450","52,944","53,693","54,132","54,585","55,216","55,278","55,411","55,700","55,441","55,946","56,557","56,779","56,830","57,355","57,427","57,698","58,293","58,061","58,308","58,554","58,913","60,089","61,190","61,578","61,981","62,676"
"Non-banks 2","212,176","211,149","210,321","210,161","209,595","209,808","209,161","208,542","207,659","207,560","207,322","207,384","205,781","204,307","202,906","202,271","201,933","201,176","201,580","202,106","202,430","202,356","202,083","201,890","202,350","202,905","203,690","204,490","205,322","206,132","206,548","207,193","207,411","207,855","208,163","207,994","208,157","208,336","208,420","208,866","209,724","209,728","209,790","209,765","210,220","210,825","211,422","212,046","213,263","214,407","211,410","212,442","213,090","213,703","215,040","215,928","216,903","218,140","219,839","221,182","220,429","220,614","221,171","221,824","222,063","222,820","223,770","224,964","226,309","226,855","227,646","227,577","229,028","230,655","231,715","232,069","233,207","233,854"
