"Credit liabilities of private non-financial corporations (x 1,000,000)"
"Frequency: Monthly"
"Table: 36-10-0640-01"
"Release date: 2026-08-19"
"Geography: Canada"
""
""

"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seasonality","Seasonally adjusted data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Credit liabilities of private non-financial corporations 1","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023","November 2023","December 2023","January 2024","February 2024","March 2024","April 2024","May 2024","June 2024","July 2024","August 2024","September 2024","October 2024","November 2024","December 2024","January 2025","February 2025","March 2025","April 2025","May 2025","June 2025","July 2025","August 2025","September 2025","October 2025","November 2025","December 2025","January 2026","February 2026","March 2026","April 2026","May 2026","June 2026"
,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chartered banks 2","482,861","485,250","528,461","521,584","503,401","487,035","478,912","472,833","469,160","469,307","467,672","469,184","469,444","471,385","470,041","472,937","474,899","482,761","486,744","491,600","495,711","498,598","505,577","513,547","520,542","527,923","535,851","544,860","554,014","569,265","581,386","595,108","607,077","615,496","619,294","622,830","629,917","638,672","640,883","641,341","646,492","647,916","650,571","654,903","658,073","660,926","664,975","666,089","668,407","661,662","660,321","664,505","661,701","655,840","653,561","653,154","653,472","658,134","662,189","647,387","655,574","656,822","656,602","654,463","658,244","661,120","660,147","660,211","660,137","659,897","665,071","669,381","669,794","671,753","672,886","674,624","678,434","684,740"
"Of which: bankers' acceptances 2 3 4","153,490","152,509","160,806","162,485","158,403","156,233","154,952","154,478","155,498","153,382","153,045","157,432","155,050","157,420","158,644","158,625","160,660","162,196","162,922","163,859","167,800","165,879","166,890","174,181","171,636","172,694","170,927","172,968","175,577","177,919","179,904","182,061","186,899","184,820","185,277","193,836","192,048","194,292","195,377","198,202","198,583","200,612","199,599","199,089","201,260","200,249","196,398","191,342","176,263","165,407","151,612","132,260","100,032","55,605","6,985","2,792","69","19","17","14","15","23","16","21","24","16","14","13","11","11","11","43","10","11","11","7","6","6"
"Non-banks 2","207,026","210,596","216,025","235,339","241,323","243,036","244,942","246,310","250,927","251,090","249,078","252,918","259,502","262,656","271,263","271,875","272,671","274,846","277,590","281,027","284,474","284,757","288,003","290,401","290,969","289,353","287,493","289,327","289,726","290,451","297,269","300,039","302,383","303,593","303,784","305,826","308,777","311,684","315,559","318,382","319,652","318,775","320,532","324,939","328,370","333,992","332,942","328,245","313,495","310,562","310,845","312,879","314,612","318,794","321,496","321,575","324,084","327,963","331,137","336,080","343,783","346,110","347,244","346,233","349,685","354,535","359,272","361,960","363,724","365,924","367,100","366,590","366,957","365,932","365,727","361,107","360,805","361,607"
"Government 2 5","15,157","15,342","15,541","35,956","41,555","43,304","44,072","45,299","46,466","47,003","47,378","53,458","56,996","59,262","61,768","62,766","63,826","65,041","65,822","65,880","65,767","65,345","64,867","64,640","63,921","62,537","62,381","62,342","62,209","62,010","62,075","62,196","62,119","62,511","63,099","63,380","62,493","62,031","61,523","61,465","61,205","60,957","61,516","61,951","61,914","62,792","62,492","57,457","41,931","36,038","35,584","35,593","35,823","35,959","36,347","36,544","36,940","36,914","36,898","36,698","38,356","40,073","41,737","43,276","44,832","46,333","46,242","46,149","46,052","46,457","46,844","47,323","48,406","49,513","50,627","50,597","50,494","50,439"
"Non-bank financial corporations 2 5","85,783","85,932","86,056","86,697","87,158","88,060","87,350","86,724","86,182","86,535","86,782","87,038","87,670","88,149","88,855","89,775","90,769","91,799","92,064","92,381","92,864","94,095","95,328","96,544","98,227","99,813","101,636","102,897","104,283","105,681","106,868","107,951","109,073","110,244","111,461","112,542","115,606","118,391","121,643","122,903","124,251","125,520","126,921","128,334","129,650","131,494","133,284","135,230","135,503","135,505","135,498","137,293","139,123","141,065","143,164","145,158","147,259","149,066","150,743","152,675","152,891","153,200","153,458","154,648","155,617","156,721","158,346","160,047","161,698","162,765","163,894","165,286","165,985","166,731","167,427","167,802","167,966","168,309"
"Credit unions and caisse populaires 2 5","16,265","16,570","16,826","16,708","16,319","16,392","16,256","16,217","16,240","16,201","16,040","15,867","15,860","15,768","15,787","15,959","16,104","16,303","16,277","16,307","16,511","16,605","16,722","16,776","16,907","17,078","17,270","17,413","17,568","17,767","18,009","18,150","18,362","18,589","18,891","18,999","19,098","19,167","19,394","19,652","19,926","20,154","20,344","20,551","20,706","20,984","21,259","21,580","22,040","22,157","22,303","22,806","23,332","24,019","24,015","23,922","24,008","24,130","24,176","24,326","24,531","24,748","25,018","25,138","25,082","25,202","25,308","25,502","25,693","25,492","25,373","25,415","25,464","25,557","25,605","25,914","26,079","26,434"
"Trust companies and mortgage loan companies 2 5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Financial vehicle corporations engaged in securitization 2 5 6","4,412","4,436","4,495","4,524","4,619","4,718","4,775","4,819","4,865","4,819","4,803","4,794","4,823","4,843","4,920","4,783","4,716","4,662","4,701","4,736","4,771","4,876","4,992","5,122","5,356","5,580","5,893","5,901","5,985","6,074","6,226","6,375","6,518","6,631","6,742","6,884","6,864","6,883","6,923","6,942","6,999","7,057","7,155","7,247","7,331","7,408","7,481","7,617","7,638","7,717","7,772","7,970","8,145","8,306","8,392","8,463","8,526","8,546","8,567","8,684","8,203","7,852","7,348","7,466","7,507","7,539","7,493","7,435","7,381","7,333","7,306","7,340","7,448","7,612","7,718","7,731","7,674","7,609"
"Other financial corporations n.e.i. 2 5 7","65,106","64,926","64,735","65,465","66,220","66,950","66,319","65,688","65,077","65,515","65,939","66,377","66,987","67,538","68,148","69,033","69,949","70,834","71,086","71,338","71,582","72,614","73,614","74,646","75,964","77,155","78,473","79,583","80,730","81,840","82,633","83,426","84,193","85,024","85,828","86,659","89,644","92,341","95,326","96,309","97,326","98,309","99,422","100,536","101,613","103,102","104,544","106,033","105,825","105,631","105,423","106,517","107,646","108,740","110,757","112,773","114,725","116,390","118,000","119,665","120,157","120,600","121,092","122,044","123,028","123,980","125,545","127,110","128,624","129,940","131,215","132,531","133,073","133,562","134,104","134,157","134,213","134,266"
