sector,layer,parent,child,estimator,beta,se,pval,n,peak,status,beta_unc,se_unc,pval_unc,n_unc,peak_unc,status_unc
asset_managers,1,cra_policy_surprise,goc_10y,event_study,0.45888112463738606,0.32733555602758824,0.1609547741991153,27.0,event,ok,0.8153277931671472,0.23396128608356057,0.0004923516106265061,27.0,event,ok
asset_managers,2,goc_10y,bond_etf_volume_growth,local_projection,,,,,,no_significant_horizon,0.11516985927989172,0.05440414265006268,0.03426563688058634,853.0,3,ok
asset_managers,3,bond_etf_volume_growth,zag_xic_return_spread,local_projection,-0.0008212562372394593,0.00026641067377431853,0.0020515239742190253,854.0,7,ok,-0.0008395666035811176,0.00026366008691852287,0.0014511635398822358,855.0,7,ok
banks,1,cra_policy_surprise,goc_2y,event_study,1.0502333174152476,0.22179669061250346,2.1892858556615814e-06,27.0,event,ok,1.3859649122807354,0.17587165140964828,3.2594954228231705e-15,27.0,event,ok
banks,2,goc_2y,gic_1y,distributed_lag,-0.06230693228721851,0.38103748850037905,0.870109684054443,166.0,sum,ok,-0.005247738973816085,0.42764893631829454,0.9902092944222438,171.0,sum,ok
banks,3,gic_1y,lending_deposit_spread,distributed_lag,-0.7142557774079288,0.09362509624973196,2.3677930886509847e-14,160.0,sum,ok,-0.7161195695353565,0.09330519448239213,1.6538820069347326e-14,170.0,sum,ok
banks,4,lending_deposit_spread,bank_equity_return,local_projection,-0.0035448415934750347,0.0007464187325253404,2.0429088932553753e-06,175.0,4,ok,-0.0035495607493918582,0.0007357439283929698,1.403892158297375e-06,175.0,4,ok
central_banks,1,cra_policy_surprise,goc_10y,event_study,0.45888112463738606,0.32733555602758824,0.1609547741991153,27.0,event,ok,0.8153277931671472,0.23396128608356057,0.0004923516106265061,27.0,event,ok
central_banks,2,goc_10y,corra_target_spread,local_projection,,,,,,no_significant_horizon,,,,,,no_significant_horizon
central_governments,1,cra_policy_surprise,goc_2y,event_study,1.0502333174152476,0.22179669061250346,2.1892858556615814e-06,27.0,event,ok,1.3859649122807354,0.17587165140964828,3.2594954228231705e-15,27.0,event,ok
central_governments,2,goc_2y,tbill_3m,distributed_lag,0.4649404993547151,0.05845980741967247,1.818058182086974e-15,810.0,sum,ok,0.36592819742446586,0.05284810008740057,4.385995081166253e-12,846.0,sum,ok
central_governments,3,tbill_3m,tbill_outstanding_growth,distributed_lag,0.34777242787390705,0.13446121492425506,0.009698024442357853,80.0,3,ok,0.34728441316030884,0.13518673562937475,0.010201490742828133,80.0,3,ok
general_banking,1,cra_policy_surprise,goc_5y,event_study,0.6925448474545637,0.24292867736800888,0.004360725958335373,27.0,event,ok,1.0710987996306782,0.18920903131319552,1.50556142719029e-08,27.0,event,ok
general_banking,2,goc_5y,gic_5y,distributed_lag,0.569439541349291,0.2708659026307445,0.03552760113585559,166.0,sum,ok,0.6371212717143636,0.23079972333598103,0.005771400261838117,171.0,sum,ok
general_banking,3,gic_5y,lending_deposit_spread,distributed_lag,-0.13919712728132633,0.8023171099065105,0.8622632194836821,160.0,sum,ok,-0.1495362254179161,0.7718103982810174,0.8463737081800211,170.0,sum,ok
hedge_funds,1,cra_policy_surprise,goc_2y,event_study,1.0502333174152476,0.22179669061250346,2.1892858556615814e-06,27.0,event,ok,1.3859649122807354,0.17587165140964828,3.2594954228231705e-15,27.0,event,ok
hedge_funds,2,goc_2y,cra_oi_growth,local_projection,0.03132166743103978,0.014973667410346923,0.03645790490405547,836.0,2,ok,0.03132740249018247,0.014974493559159021,0.03643396411581287,836.0,2,ok
hedge_funds,3,cra_oi_growth,cra_volume_growth,local_projection,,,,,,no_significant_horizon,,,,,,no_significant_horizon
households,1,cra_policy_surprise,goc_5y,event_study,0.6925448474545637,0.24292867736800888,0.004360725958335373,27.0,event,ok,1.0710987996306782,0.18920903131319552,1.50556142719029e-08,27.0,event,ok
households,2,goc_5y,effective_household_rate,distributed_lag,0.5720196390530332,0.08124018531826097,1.907386694890648e-12,160.0,sum,ok,0.5510959970089012,0.0837031748238488,4.5816725854758924e-11,170.0,sum,ok
households,3,effective_household_rate,mortgage_funds_advanced_growth,local_projection,-0.741953029596729,0.14607466566619792,3.788829669529299e-07,33.0,5,ok,-0.4567011278924494,0.12201516120891563,0.00018184584387026436,33.0,5,ok
nfcs,1,cra_policy_surprise,goc_2y,event_study,1.0502333174152476,0.22179669061250346,2.1892858556615814e-06,27.0,event,ok,1.3859649122807354,0.17587165140964828,3.2594954228231705e-15,27.0,event,ok
nfcs,2,goc_2y,effective_business_rate,distributed_lag,0.5913309786364189,0.06529971277253531,1.3576375465250778e-19,160.0,sum,ok,0.5658413132703173,0.05836221788005602,3.1559710664346615e-22,170.0,sum,ok
nfcs,3,effective_business_rate,nfc_nonmortgage_growth,local_projection,-0.028199488155847566,0.010300901482981186,0.006189404582544341,31.0,7,ok,-0.01960150768828318,0.0083204488948563,0.018481704822212626,31.0,7,ok
nfcs,4,nfc_nonmortgage_growth,business_insolvencies_growth,local_projection,7.826152651152582,2.3205424298406356,0.0007447471446274228,33.0,1,ok,7.010541430406386,2.098671482944811,0.0008363782100624171,34.0,1,ok
